kind,start,end,class,src,motivo
data,2160,2170,literal_pool,,pcrel refs 3/5 words (mov.lx2+mov.wx1)
data,2222,2226,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,2480,2486,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,2830,4064,padding,,all-0xFFFF filler (stray pcrel ref x3)
data,4074,4088,unknown_data,,
data,4094,4098,padding,,all-zero word filler
data,4148,4152,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,4250,4254,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,4262,4266,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,4560,4566,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,4766,4770,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,4780,4786,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,4974,4982,literal_pool,,pcrel refs 2/4 words (mov.lx2)
data,5692,5698,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,5902,5906,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,6194,6198,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,6470,6474,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,6750,6754,literal_pool,,pcrel refs 2/2 words (mov.wx1+mov.lx1)
data,7002,7006,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,7578,7582,literal_pool,,pcrel refs 2/2 words (mov.wx2)
data,7584,7590,literal_pool,,pcrel refs 2/3 words (mov.wx1+mov.lx1)
data,8120,8128,literal_pool,,pcrel refs 2/4 words (mov.wx1+mov.lx1)
data,8130,8192,unknown_data,,
data,8194,8198,string,,ascii E1D4 (span 32B)
data,8232,8238,string,,ascii DENSO2 (span 16B)
data,8958,8962,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,9332,9336,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,9402,9408,literal_pool,,pcrel refs 1/3 words (mov.lx1)
data,13034,13038,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,13186,13194,literal_pool,,pcrel refs 2/4 words (mov.lx2)
data,13224,13238,literal_pool,,pcrel refs 3/7 words (mov.lx3)
data,13240,13244,unknown_data,,
data,13430,13434,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,13678,13682,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,13936,13942,literal_pool,,pcrel refs 3/3 words (mov.wx2+mov.lx1)
data,13944,13952,literal_pool,,pcrel refs 2/4 words (mov.lx2)
data,13958,13962,padding,,all-zero word filler
data,13964,13974,literal_pool,,pcrel refs 3/5 words (mov.lx3)
data,14144,14148,literal_pool,,pcrel refs 1/2 words (mov.wx1)
data,14150,14154,padding,,all-zero word filler
data,14162,14170,literal_pool,,pcrel refs 2/4 words (mov.lx2)
data,14256,14266,literal_pool,,pcrel refs 3/5 words (mov.lx3)
data,14272,14276,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,14586,14594,literal_pool,,pcrel refs 3/4 words (mov.wx2+mov.lx1)
data,14596,14602,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,14686,14690,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,15012,15022,literal_pool,,pcrel refs 3/5 words (mov.lx3)
data,15054,15058,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,15108,15112,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,15128,15134,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,15154,15158,string,,ascii 1999 (span 202B)
data,15342,15348,unknown_data,,
data,15442,15448,literal_pool,,pcrel refs 1/3 words (mov.lx1)
data,15450,15462,literal_pool,,pcrel refs 3/6 words (mov.lx3)
data,15480,15486,padding,,all-zero word filler
data,15536,15540,padding,,all-zero word filler
data,15764,15770,literal_pool,,pcrel refs 2/3 words (mov.wx1+mov.lx1)
data,15870,15874,literal_pool,,pcrel refs 2/2 words (mov.wx1+mov.lx1)
data,15998,16002,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,16008,16018,literal_pool,,pcrel refs 3/5 words (mov.lx3)
data,16048,16054,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,16238,16246,literal_pool,,pcrel refs 2/4 words (mov.lx2)
data,16248,16258,literal_pool,,pcrel refs 3/5 words (mov.lx3)
data,16344,16358,literal_pool,,pcrel refs 4/7 words (mov.lx4)
data,16932,16936,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,17004,17038,jump_table,,32-bit absolute x8 (pairing+0
data,17040,17066,jump_table,,32-bit absolute x6 (pairing+0
data,17188,17196,jump_table,,32-bit absolute x2 (pairing+0
data,17400,17412,jump_table,,32-bit absolute x3 (pairing+0
data,17664,17668,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,18216,18228,jump_table,,32-bit absolute x3 (pairing+0
data,18234,18238,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,18628,18632,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,18748,18838,unknown_data,,
