start,end,words,category,pcrel_refs,branch_refs,labels,function,sample_values
0x86C,0x86C,1,data:pool_single,1,0,1,,0098
0x870,0x878,5,data:literal_pool,3,0,3,,00A8 FFFF 0000 0338 FFFF
0x8AE,0x8B0,2,data:padding,1,0,1,,FFFF FFFF
0x99C,0x99C,1,data:pool_single,1,0,1,,04E0
0x9B0,0x9B4,3,data:literal_pool,2,0,2,,0000 FFFF 0000
0x9B8,0x9B8,1,data:pool_single,1,0,1,,0000
0x9BC,0x9BC,1,data:pool_single,1,0,1,,0000
0xAEC,0xAEC,1,data:pool_single,1,0,1,,0FA0
0xB0E,0xFDE,617,data:padding,3,1,4,,FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
0xFE2,0xFE2,1,data:padding_single,0,0,0,,FFFF
0xFEA,0xFF6,7,data:unknown_data,0,0,0,,FFFF 0000 0000 0000 0000 0000 0000
0xFFE,0x1000,2,data:padding,0,0,0,,0000 0000
0x1004,0x1006,2,data:run_unclassified,0,0,0,,3031 3031
0x1034,0x1036,2,data:literal_pool,1,0,1,,0000 FFFF
0x1086,0x1086,1,data:padding_single,0,0,0,,FFFF
0x1096,0x1098,2,data:padding_pattern,1,0,1,,0000 FFFF
0x1198,0x1198,1,data:pool_single,1,0,1,,07E0
0x119E,0x119E,1,data:pool_single,1,0,1,,07E8
0x11A6,0x11A6,1,data:pool_single,1,0,1,,0080
0x11AA,0x11AC,2,data:padding_pattern,1,0,1,,FFFF 0000
0x11B0,0x11B0,1,data:pool_single,1,0,1,,0000
0x11B4,0x11B4,1,data:pool_single,1,0,1,,0000
0x11B8,0x11B8,1,data:pool_single,1,0,1,,0000
0x11BC,0x11BC,1,data:pool_single,1,0,1,,0000
0x11C0,0x11C0,1,data:pool_single,1,0,1,,0000
0x1282,0x1284,2,data:padding_pattern,1,0,1,,FFFF FFFF
0x1288,0x1288,1,data:pool_single,1,0,1,,0000
0x128C,0x128C,1,data:pool_single,1,0,1,,0000
0x1290,0x1294,3,data:padding_pattern,2,0,2,,0000 FFFF FFFF
0x1354,0x1358,3,data:padding_pattern,2,0,2,,0000 FFFF 0000
0x135C,0x135C,1,data:pool_single,1,0,1,,0000
0x1360,0x1360,1,data:pool_single,1,0,1,,0000
0x1444,0x1444,1,data:pool_single,1,0,1,,0000
0x14F6,0x14F6,1,data:pool_single,1,0,1,,00B1
0x1508,0x1508,1,data:pool_single,1,0,1,,FFFF
0x1612,0x1614,2,data:padding_pattern,1,0,1,,FFFF FFFF
0x1618,0x161C,3,data:padding_pattern,2,0,2,,0000 FFFF FFFF
0x1620,0x1620,1,data:pool_single,1,0,1,,FFFF
0x16CA,0x16CC,2,data:pool_unclassified,2,0,2,,0400 FFFF
0x16D0,0x16D0,1,data:pool_single,1,0,1,,FFFF
0x16D4,0x16D4,1,data:pool_single,1,0,1,,FFFF
0x16D8,0x16D8,1,data:pool_single,1,0,1,,FFFF
0x17D2,0x17D4,2,data:padding_pattern,1,0,1,,FFFF FFFF
0x17D8,0x17D8,1,data:pool_single,1,0,1,,FFFF
0x17DC,0x17DC,1,data:pool_single,1,0,1,,FFFF
0x17E0,0x17E0,1,data:pool_single,1,0,1,,FFFF
0x17E4,0x17E4,1,data:pool_single,1,0,1,,FFFF
0x17E8,0x17E8,1,data:pool_single,1,0,1,,FFFF
0x17EC,0x17EC,1,data:pool_single,1,0,1,,FFFF
0x18F0,0x18F0,1,data:pool_single,1,0,1,,0081
0x18F6,0x18F8,2,data:padding_pattern,1,0,1,,FFFF FFFF
0x18FC,0x18FC,1,data:pool_single,1,0,1,,FFFF
0x1900,0x1900,1,data:pool_single,1,0,1,,FFFF
