# Uncovered words (".word" gap) in code window 0x800..0x60000 — 60E15120_N3J1E
# covered=183172 words  uncovered=12412 words  coverage=93.654%
# forced-to-.word real instructions: 294

category,words,clusters
data:jump_table,46,14
data:literal_pool,263,144
data:padding,746,81
data:padding_pattern,1330,584
data:padding_single,741,741
data:pool_single,6284,6284
data:pool_unclassified,1687,586
data:run_unclassified,632,208
data:single_unref,415,415
data:string,7,3
data:table_member,34,34
data:unknown_data,211,55
instr_forced,2,2
label_on_data,14,14

FORCED INSTRUCTION MNEMONICS (real code, zero-cost recoverable):
  mov.l        281
  ldc          5
  ldc.l        3
  stc.l        2
  synco        2
  stc          1


CLUSTERS (start,end,words,category,pcrel_refs,branch_refs,labels,function):
0x86C,0x86C,1,data:pool_single,1,0,1,
0x870,0x878,5,data:literal_pool,3,0,3,
0x8AE,0x8B0,2,data:padding,1,0,1,
0x99C,0x99C,1,data:pool_single,1,0,1,
0x9B0,0x9B4,3,data:literal_pool,2,0,2,
0x9B8,0x9B8,1,data:pool_single,1,0,1,
0x9BC,0x9BC,1,data:pool_single,1,0,1,
0xAEC,0xAEC,1,data:pool_single,1,0,1,
0xB0E,0xFDE,617,data:padding,3,1,4,
0xFE2,0xFE2,1,data:padding_single,0,0,0,
0xFEA,0xFF6,7,data:unknown_data,0,0,0,
0xFFE,0x1000,2,data:padding,0,0,0,
0x1004,0x1006,2,data:run_unclassified,0,0,0,
0x1034,0x1036,2,data:literal_pool,1,0,1,
0x1086,0x1086,1,data:padding_single,0,0,0,
0x1096,0x1098,2,data:padding_pattern,1,0,1,
0x1198,0x1198,1,data:pool_single,1,0,1,
0x119E,0x119E,1,data:pool_single,1,0,1,
0x11A6,0x11A6,1,data:pool_single,1,0,1,
0x11AA,0x11AC,2,data:padding_pattern,1,0,1,
0x11B0,0x11B0,1,data:pool_single,1,0,1,
0x11B4,0x11B4,1,data:pool_single,1,0,1,
0x11B8,0x11B8,1,data:pool_single,1,0,1,
0x11BC,0x11BC,1,data:pool_single,1,0,1,
0x11C0,0x11C0,1,data:pool_single,1,0,1,
0x1282,0x1284,2,data:padding_pattern,1,0,1,
0x1288,0x1288,1,data:pool_single,1,0,1,
