start,end,words,category,pcrel_refs,branch_refs,labels,function,sample_values
0x86C,0x86C,1,data:pool_single,1,0,1,,0098
0x870,0x878,5,data:literal_pool,3,0,3,,00A8 FFFF 0000 0338 FFFF
0x8AE,0x8B0,2,data:padding,1,0,1,,FFFF FFFF
0x99C,0x99C,1,data:pool_single,1,0,1,,04E0
0x9B0,0x9B4,3,data:literal_pool,2,0,2,,0000 FFFF 0000
0x9B8,0x9B8,1,data:pool_single,1,0,1,,0000
0x9BC,0x9BC,1,data:pool_single,1,0,1,,0000
0xAEC,0xAEC,1,data:pool_single,1,0,1,,0FA0
0xB0E,0xFDE,617,data:padding,3,1,4,,FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
0xFE2,0xFE2,1,data:padding_single,0,0,0,,FFFF
0xFEA,0xFF6,7,data:unknown_data,0,0,0,,FFFF 0000 0000 0000 0000 0000 0000
0xFFE,0x1000,2,data:padding,0,0,0,,0000 0000
0x1034,0x1036,2,data:literal_pool,1,0,1,,0000 FFFF
0x108A,0x108A,1,data:padding_single,0,0,0,,FFFF
0x109A,0x109C,2,data:literal_pool,1,0,1,,0000 FFFF
0x10A6,0x10A8,2,data:literal_pool,1,0,1,,0000 FFFF
0x11B0,0x11B0,1,data:pool_single,1,0,1,,07E0
0x11B6,0x11B6,1,data:pool_single,1,0,1,,07E8
0x11C0,0x11C0,1,data:pool_single,1,0,1,,0080
0x11C4,0x11C4,1,data:pool_single,1,0,1,,0000
0x11C8,0x11C8,1,data:pool_single,1,0,1,,0000
0x11CC,0x11CC,1,data:pool_single,1,0,1,,0000
0x11D0,0x11D4,3,data:literal_pool,2,0,2,,0000 FEFF 0000
0x11D8,0x11D8,1,data:pool_single,1,0,1,,0000
0x11DC,0x11DC,1,data:pool_single,1,0,1,,0000
0x129E,0x12A0,2,data:padding,1,0,1,,FFFF FFFF
0x12A4,0x12A4,1,data:pool_single,1,0,1,,0000
0x12A8,0x12A8,1,data:pool_single,1,0,1,,0000
0x12AC,0x12B0,3,data:literal_pool,2,0,2,,0000 FFFF FFFF
0x136E,0x1374,4,data:literal_pool,2,0,2,,FFFF 0000 FFFF 0000
0x1378,0x1378,1,data:pool_single,1,0,1,,0000
0x137C,0x137C,1,data:pool_single,1,0,1,,0000
0x1460,0x1460,1,data:pool_single,1,0,1,,0000
0x1516,0x1516,1,data:pool_single,1,0,1,,00B1
0x1528,0x1528,1,data:pool_single,1,0,1,,FFFF
0x1638,0x1638,1,data:pool_single,1,0,1,,FFFF
0x163C,0x1640,3,data:literal_pool,2,0,2,,0000 FFFF FFFF
0x1644,0x1644,1,data:pool_single,1,0,1,,FFFF
0x1706,0x1706,1,data:pool_single,1,0,1,,0400
0x170E,0x1710,2,data:padding,1,0,1,,FFFF FFFF
0x1714,0x1714,1,data:pool_single,1,0,1,,FFFF
0x1718,0x1718,1,data:pool_single,1,0,1,,FFFF
0x171C,0x171C,1,data:pool_single,1,0,1,,FFFF
0x182E,0x182E,1,data:pool_single,1,0,1,,0081
0x1832,0x1834,2,data:padding,1,0,1,,FFFF FFFF
0x1838,0x1838,1,data:pool_single,1,0,1,,FFFF
0x183C,0x183C,1,data:pool_single,1,0,1,,FFFF
0x1840,0x1840,1,data:pool_single,1,0,1,,FFFF
0x1844,0x1844,1,data:pool_single,1,0,1,,FFFF
0x1848,0x1848,1,data:pool_single,1,0,1,,FFFF
0x184C,0x184C,1,data:pool_single,1,0,1,,FFFF
0x193C,0x193C,1,data:pool_single,1,0,1,,00AA
0x1946,0x1948,2,data:padding,1,0,1,,FFFF FFFF
0x194C,0x194C,1,data:pool_single,1,0,1,,FFFF
