# Uncovered words (".word" gap) in code window 0x800..0x60000 — 60E1D400
# covered=183120 words  uncovered=12464 words  coverage=93.627%
# forced-to-.word real instructions: 252

category,words,clusters
data:jump_table,107,23
data:literal_pool,2282,883
data:padding,1540,366
data:padding_single,749,749
data:pool_single,6478,6478
data:single_unref,463,463
data:string,7,3
data:table_member,30,30
data:unknown_data,782,218
instr_forced,2,2
label_on_data,24,24

FORCED INSTRUCTION MNEMONICS (real code, zero-cost recoverable):
  mov.l        241
  ldc          4
  ldc.l        2
  stc.l        2
  stc          2
  synco        1


CLUSTERS (start,end,words,category,pcrel_refs,branch_refs,labels,function):
0x86C,0x86C,1,data:pool_single,1,0,1,
0x870,0x878,5,data:literal_pool,3,0,3,
0x8AE,0x8B0,2,data:padding,1,0,1,
0x99C,0x99C,1,data:pool_single,1,0,1,
0x9B0,0x9B4,3,data:literal_pool,2,0,2,
0x9B8,0x9B8,1,data:pool_single,1,0,1,
0x9BC,0x9BC,1,data:pool_single,1,0,1,
0xAEC,0xAEC,1,data:pool_single,1,0,1,write_verify_bytes
0xB0E,0xFDE,617,data:padding,3,1,4,
0xFE2,0xFE2,1,data:padding_single,0,0,0,
0xFEA,0xFF6,7,data:unknown_data,0,0,0,
0xFFA,0xFFA,1,data:single_unref,0,0,0,
0xFFE,0x1000,2,data:padding,0,0,0,
0x1034,0x1036,2,data:literal_pool,1,0,1,
0x108A,0x108A,1,data:padding_single,0,0,0,
0x109A,0x109C,2,data:literal_pool,1,0,1,
0x10A6,0x10A8,2,data:literal_pool,1,0,1,
0x11B0,0x11B0,1,data:pool_single,1,0,1,
0x11B6,0x11B6,1,data:pool_single,1,0,1,
0x11C0,0x11C0,1,data:pool_single,1,0,1,
0x11C4,0x11C4,1,data:pool_single,1,0,1,
0x11C8,0x11C8,1,data:pool_single,1,0,1,
0x11CC,0x11CC,1,data:pool_single,1,0,1,
0x11D0,0x11D4,3,data:literal_pool,2,0,2,
0x11D8,0x11D8,1,data:pool_single,1,0,1,
0x11DC,0x11DC,1,data:pool_single,1,0,1,
0x129E,0x12A0,2,data:padding,1,0,1,
0x12A4,0x12A4,1,data:pool_single,1,0,1,
0x12A8,0x12A8,1,data:pool_single,1,0,1,
