# Uncovered words (".word" gap) in code window 0x800..0x60000 — 60E32000_N3M5E
# covered=183458 words  uncovered=12126 words  coverage=93.800%
# forced-to-.word real instructions: 265

category,words,clusters
data:jump_table,40,11
data:literal_pool,539,259
data:padding,749,81
data:padding_pattern,1064,498
data:padding_single,569,569
data:pool_single,6041,6041
data:pool_unclassified,1917,736
data:run_unclassified,382,120
data:single_unref,488,488
data:string,5,2
data:table_member,41,41
data:unknown_data,260,60
label_on_data,31,31

FORCED INSTRUCTION MNEMONICS (real code, zero-cost recoverable):
  mov.l        157
  mulr         55
  movmu.l      22
  divs         10
  divu         9
  stc.l        4
  ldc.l        3
  stc          2
  ldc          1
  mov.b        1
  mov.w        1


CLUSTERS (start,end,words,category,pcrel_refs,branch_refs,labels,function):
0x86C,0x86C,1,data:pool_single,1,0,1,
0x870,0x878,5,data:literal_pool,3,0,3,
0x8AE,0x8B0,2,data:padding,1,0,1,
0x99C,0x99C,1,data:pool_single,1,0,1,
0x9B0,0x9B4,3,data:literal_pool,2,0,2,
0x9B8,0x9B8,1,data:pool_single,1,0,1,
0x9BC,0x9BC,1,data:pool_single,1,0,1,
0xAEC,0xAEC,1,data:pool_single,1,0,1,
0xB0E,0xFDE,617,data:padding,3,1,4,
0xFE2,0xFE2,1,data:padding_single,0,0,0,
0xFEA,0xFF6,7,data:unknown_data,0,0,0,
0xFFE,0x1000,2,data:padding,0,0,0,
0x1034,0x1036,2,data:literal_pool,1,0,1,
0x108A,0x108A,1,data:padding_single,0,0,0,
0x109A,0x109C,2,data:literal_pool,1,0,1,
0x10A6,0x10A8,2,data:literal_pool,1,0,1,
0x11B0,0x11B0,1,data:pool_single,1,0,1,
0x11B6,0x11B6,1,data:pool_single,1,0,1,
0x11C0,0x11C0,1,data:pool_single,1,0,1,
0x11C4,0x11C4,1,data:pool_single,1,0,1,
0x11C8,0x11C8,1,data:pool_single,1,0,1,
0x11CC,0x11CC,1,data:pool_single,1,0,1,
0x11D0,0x11D4,3,data:literal_pool,2,0,2,
0x11D8,0x11D8,1,data:pool_single,1,0,1,
0x11DC,0x11DC,1,data:pool_single,1,0,1,
0x129E,0x12A0,2,data:padding,1,0,1,
