addr_start,addr_end,word_count,class,notes
2160,2170,5,literal_pool,pcrel refs 3/5 words (mov.lx2+mov.wx1)
2222,2226,2,padding,all-0xFFFF filler (stray pcrel ref x1)
2480,2486,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
2830,4064,617,padding,all-0xFFFF filler (stray pcrel ref x3)
4074,4088,7,unknown_data,
4094,4098,2,padding,all-zero word filler
4148,4152,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
4250,4254,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
4262,4266,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
4560,4566,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
4766,4770,2,padding,all-0xFFFF filler (stray pcrel ref x1)
4780,4786,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
4974,4982,4,literal_pool,pcrel refs 2/4 words (mov.lx2)
5692,5698,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
5902,5906,2,padding,all-0xFFFF filler (stray pcrel ref x1)
6194,6198,2,padding,all-0xFFFF filler (stray pcrel ref x1)
6470,6474,2,padding,all-0xFFFF filler (stray pcrel ref x1)
6750,6754,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
7002,7006,2,padding,all-0xFFFF filler (stray pcrel ref x1)
7578,7582,2,literal_pool,pcrel refs 2/2 words (mov.wx2)
7584,7590,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
8120,8128,4,literal_pool,pcrel refs 2/4 words (mov.wx1+mov.lx1)
8130,8192,31,unknown_data,
8194,8198,2,string,"ascii ""E1D4"" (span 32B)"
8232,8238,3,string,"ascii ""DENSO2"" (span 16B)"
8958,8962,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
9332,9336,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
9402,9408,3,literal_pool,pcrel refs 1/3 words (mov.lx1)
13034,13038,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
13186,13194,4,literal_pool,pcrel refs 2/4 words (mov.lx2)
13224,13238,7,literal_pool,pcrel refs 3/7 words (mov.lx3)
13240,13244,2,unknown_data,
13430,13434,2,padding,all-0xFFFF filler (stray pcrel ref x1)
13678,13682,2,padding,all-0xFFFF filler (stray pcrel ref x1)
13936,13942,3,literal_pool,pcrel refs 3/3 words (mov.wx2+mov.lx1)
13944,13952,4,literal_pool,pcrel refs 2/4 words (mov.lx2)
13958,13962,2,padding,all-zero word filler
13964,13974,5,literal_pool,pcrel refs 3/5 words (mov.lx3)
14144,14148,2,literal_pool,pcrel refs 1/2 words (mov.wx1)
14150,14154,2,padding,all-zero word filler
14162,14170,4,literal_pool,pcrel refs 2/4 words (mov.lx2)
14256,14266,5,literal_pool,pcrel refs 3/5 words (mov.lx3)
14272,14276,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
14586,14594,4,literal_pool,pcrel refs 3/4 words (mov.wx2+mov.lx1)
14596,14602,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
14686,14690,2,padding,all-0xFFFF filler (stray pcrel ref x1)
