pair,addr,table,baseline_u16,other_u16,delta_signed
60E1D400__vs__60E0E500,0x6cf6c,Barometric Pressure Sensor Max ADC Count,0xF5C2,0x6E6E,34644
60E1D400__vs__60E0E500,0x6cf6e,Barometric Pressure Sensor Min ADC Count,0x0A3D,0x6E6E,-25649
60E1D400__vs__60E0E500,0x6cfa4,Y,0x4448,0x807C,-15412
60E1D400__vs__60E0E500,0x6cfe4,Table 2D - 0_,0x3C3C,0x9090,-21588
60E1D400__vs__60E0E500,0x6cff4,Y,0x4448,0x9C9A,-22610
60E1D400__vs__60E0E500,0x6d034,Table 2D - 1_,0x3C3C,0xA0A0,-25700
60E1D400__vs__60E0E500,0x6d044,Y,0x4448,0x989C,-21588
60E1D400__vs__60E0E500,0x6d084,Table 2D - 2_,0x3C3C,0xA0A0,-25700
60E1D400__vs__60E0E500,0x6d0ec,Y,0x0000,0x5C5C,-23644
60E1D400__vs__60E0E500,0x6d114,Table 2D - 3_,0x0000,0x3EE0,-16096
60E1D400__vs__60E0E500,0x6d120,Y,0x0000,0x3F20,-16160
60E1D400__vs__60E0E500,0x6d138,Table 2D - 4_,0x2C2C,0x3F80,-4948
60E1D400__vs__60E0E500,0x6d140,Y,0x43FA,0x3F90,1130
60E1D400__vs__60E0E500,0x6d158,Table 2D - 288 Check DataType,0x1919,0x44FA,-11233
60E1D400__vs__60E0E500,0x6d160,Y,0x43FA,0x453B,-321
60E1D400__vs__60E0E500,0x6d178,Table 2D - 289 Check DataType,0x0C0C,0x45BB,-14767
60E1D400__vs__60E0E500,0x6d180,Y,0x43FA,0x45DA,-480
60E1D400__vs__60E0E500,0x6d198,Table 2D - 290 Check DataType,0x0C0C,0x726A,-26206
60E1D400__vs__60E0E500,0x6d1a0,Y,0xC220,0x3A3A,34790
60E1D400__vs__60E0E500,0x6d1e0,Idle Related,0x09C4,0x5050,-18060
60E1D400__vs__60E0E500,0x6d200,X,0x449C,0x867E,-16866
60E1D400__vs__60E0E500,0x6d218,Y,0x3F80,0x665E,-9950
60E1D400__vs__60E0E500,0x6d230,Table 3D - 103_,0x4B38,0x6262,-5930
60E1D400__vs__60E0E500,0x6d254,X,0xC220,0x8380,16032
60E1D400__vs__60E0E500,0x6d294,Y,0x3F80,0x7E7E,-16126
60E1D400__vs__60E0E500,0x6d2ac,Table 3D - 0_,0x5656,0xA2A2,-19532
60E1D400__vs__60E0E500,0x6d30c,X,0xC220,0x0000,49696
60E1D400__vs__60E0E500,0x6d34c,Y,0x3F80,0x44BB,-1339
60E1D400__vs__60E0E500,0x6d364,Table 3D - 1_,0x0000,0x0000,0
60E1D400__vs__60E0E500,0x6d3c4,X,0xC220,0x3F00,33568
60E1D400__vs__60E0E500,0x6d404,Y,0x3F80,0x0000,16256
60E1D400__vs__60E0E500,0x6d41c,Table 3D - 2_,0x0505,0x44BB,-16310
60E1D400__vs__60E0E500,0x6d47c,X,0xC220,0x0019,49671
60E1D400__vs__60E0E500,0x6d4bc,Y,0x3F80,0x4270,-752
60E1D400__vs__60E0E500,0x6d4d4,Table 3D - 3_,0x0505,0x0000,1285
60E1D400__vs__60E0E500,0x6d53c,Cold Rev Limit Threshold,0x41A0,0x4416,-630
60E1D400__vs__60E0E500,0x6d544,Cold Rev Limit,0x45AB,0x4448,355
60E1D400__vs__60E0E500,0x6d54c,Rev Limit,0x460C,0x447A,402
60E1D400__vs__60E0E500,0x6d584,Y,0x442F,0x00C0,17263
60E1D400__vs__60E0E500,0x6d59c,Ignition Maybe Idle Base,0x5A5A,0x0000,23130
60E1D400__vs__60E0E500,0x6d5a4,Y,0xC220,0x003E,49634
60E1D400__vs__60E0E500,0x6d5c8,Ignition Temp Correction?,0x6464,0x4080,9188
