file1,file2,byte_totali,byte_diversi,percentuale
60E0E500.bin,60E0E700_N3YLEE.bin,524288,402898,76.8467
60E0E500.bin,60E0FB00.bin,524288,426081,81.2685
60E0E500.bin,60E0FC00.bin,524288,426082,81.2687
60E0E500.bin,60E15120_N3J1E.bin,524288,439203,83.7713
60E0E500.bin,60E1B900.bin,524288,466125,88.9063
60E0E500.bin,60E1C500_N3J6EB.bin,524288,406653,77.5629
60E0E500.bin,60E1D400.bin,524288,479630,91.4822
60E0E500.bin,60E32000_N3M5E.bin,524288,485668,92.6338
60E0E700_N3YLEE.bin,60E0FB00.bin,524288,427171,81.4764
60E0E700_N3YLEE.bin,60E0FC00.bin,524288,427172,81.4766
60E0E700_N3YLEE.bin,60E15120_N3J1E.bin,524288,438824,83.699
60E0E700_N3YLEE.bin,60E1B900.bin,524288,466111,88.9036
60E0E700_N3YLEE.bin,60E1C500_N3J6EB.bin,524288,454767,86.7399
60E0E700_N3YLEE.bin,60E1D400.bin,524288,478882,91.3395
60E0E700_N3YLEE.bin,60E32000_N3M5E.bin,524288,485631,92.6268
60E0FB00.bin,60E0FC00.bin,524288,43,0.0082
60E0FB00.bin,60E15120_N3J1E.bin,524288,440253,83.9716
60E0FB00.bin,60E1B900.bin,524288,400729,76.433
60E0FB00.bin,60E1C500_N3J6EB.bin,524288,467906,89.246
60E0FB00.bin,60E1D400.bin,524288,479337,91.4263
60E0FB00.bin,60E32000_N3M5E.bin,524288,486276,92.7498
60E0FC00.bin,60E15120_N3J1E.bin,524288,440253,83.9716
60E0FC00.bin,60E1B900.bin,524288,400702,76.4278
60E0FC00.bin,60E1C500_N3J6EB.bin,524288,467905,89.2458
60E0FC00.bin,60E1D400.bin,524288,479336,91.4261
60E0FC00.bin,60E32000_N3M5E.bin,524288,486276,92.7498
60E15120_N3J1E.bin,60E1B900.bin,524288,480468,91.642
60E15120_N3J1E.bin,60E1C500_N3J6EB.bin,524288,480082,91.5684
60E15120_N3J1E.bin,60E1D400.bin,524288,479447,91.4473
60E15120_N3J1E.bin,60E32000_N3M5E.bin,524288,483605,92.2403
60E1B900.bin,60E1C500_N3J6EB.bin,524288,425801,81.2151
60E1B900.bin,60E1D400.bin,524288,437213,83.3918
60E1B900.bin,60E32000_N3M5E.bin,524288,466913,89.0566
60E1C500_N3J6EB.bin,60E1D400.bin,524288,424290,80.9269
60E1C500_N3J6EB.bin,60E32000_N3M5E.bin,524288,466569,88.991
60E1D400.bin,60E32000_N3M5E.bin,524288,465202,88.7302
