file1,file2,content_similarity_pct,code_region_sim_pct,cal_region_sim_pct
60E0E500.bin,60E0E700_N3YLEE.bin,77.6794,77.5107,71.0223
60E0E500.bin,60E0FB00.bin,69.8364,66.49,79.666
60E0E500.bin,60E0FC00.bin,69.8456,66.49,79.7337
60E0E500.bin,60E15120_N3J1E.bin,73.6877,70.9909,73.3469
60E0E500.bin,60E1B900.bin,67.9047,64.7695,79.7111
60E0E500.bin,60E1C500_N3J6EB.bin,89.7736,89.6175,91.1758
60E0E500.bin,60E1D400.bin,76.7883,74.6333,79.1469
60E0E500.bin,60E32000_N3M5E.bin,53.5095,51.0058,53.374
60E0E700_N3YLEE.bin,60E0FB00.bin,66.8396,65.9288,61.1826
60E0E700_N3YLEE.bin,60E0FC00.bin,66.8427,65.9288,61.2277
60E0E700_N3YLEE.bin,60E15120_N3J1E.bin,71.0541,70.49,57.1429
60E0E700_N3YLEE.bin,60E1B900.bin,64.9139,64.2258,61.2051
60E0E700_N3YLEE.bin,60E1C500_N3J6EB.bin,74.9054,75.1481,68.9461
60E0E700_N3YLEE.bin,60E1D400.bin,73.5474,73.7358,60.8441
60E0E700_N3YLEE.bin,60E32000_N3M5E.bin,51.6083,50.6428,41.9544
60E0FB00.bin,60E0FC00.bin,99.9542,99.9962,99.7632
60E0FB00.bin,60E15120_N3J1E.bin,65.8417,61.8292,71.0632
60E0FB00.bin,60E1B900.bin,91.1255,89.7866,99.7158
60E0FB00.bin,60E1C500_N3J6EB.bin,69.1284,65.6546,81.1508
60E0FB00.bin,60E1D400.bin,68.4875,64.9707,76.8885
60E0FB00.bin,60E32000_N3M5E.bin,58.374,55.1217,60.4073
60E0FC00.bin,60E15120_N3J1E.bin,65.8417,61.8292,71.0632
60E0FC00.bin,60E1B900.bin,91.1469,89.7866,99.8816
60E0FC00.bin,60E1C500_N3J6EB.bin,69.1345,65.6546,81.1982
60E0FC00.bin,60E1D400.bin,68.4937,64.9707,76.9358
60E0FC00.bin,60E32000_N3M5E.bin,58.3801,55.1217,60.4547
60E15120_N3J1E.bin,60E1B900.bin,61.3617,58.983,74.8398
60E15120_N3J1E.bin,60E1C500_N3J6EB.bin,71.4844,68.8947,85.3324
60E15120_N3J1E.bin,60E1D400.bin,73.3368,70.1798,91.0979
60E15120_N3J1E.bin,60E32000_N3M5E.bin,49.5422,48.2846,54.2081
60E1B900.bin,60E1C500_N3J6EB.bin,71.0968,67.4633,81.2219
60E1B900.bin,60E1D400.bin,70.4285,66.7467,76.9595
60E1B900.bin,60E32000_N3M5E.bin,60.0067,56.534,60.4547
60E1C500_N3J6EB.bin,60E1D400.bin,80.2673,76.848,87.7454
60E1C500_N3J6EB.bin,60E32000_N3M5E.bin,55.246,52.5857,53.216
60E1D400.bin,60E32000_N3M5E.bin,54.7729,52.9089,58.5638
