pair,file1,file2,start,end,length,region,breakdown,other_ff_fraction,n_cal_tables,cal_tables
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xffa,0xffe,4,header,header:4,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0x2005,0x2006,1,code,code:1,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0x2020,0x2023,3,code,code:3,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0x731a,0x731c,2,code,code:2,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0x7422,0x7424,2,code,code:2,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0x7496,0x7498,2,code,code:2,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0x7b1b,0x7b1c,1,code,code:1,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0x7b2f,0x7b30,1,code,code:1,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0x94de,0x94e0,2,code,code:2,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0x961a,0x9620,6,code,code:6,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0x962a,0x9630,6,code,code:6,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0x9886,0x9890,10,code,code:10,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xa9fb,0xa9fc,1,code,code:1,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xab1a,0xab20,6,code,code:6,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xac9a,0xac9c,2,code,code:2,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xacda,0xacdc,2,code,code:2,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xace6,0xace8,2,code,code:2,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xaeca,0xaed8,14,code,code:14,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xaee2,0xaee4,2,code,code:2,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xb053,0xb054,1,code,code:1,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xb143,0xb150,13,code,code:13,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xb4ce,0xb4d4,6,code,code:6,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xb4de,0xb4e4,6,code,code:6,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xb66a,0xb66c,2,code,code:2,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xc2ca,0xc2dc,18,code,code:18,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xc2eb,0xc2ec,1,code,code:1,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xc30a,0xc30c,2,code,code:2,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xc452,0xc460,14,code,code:14,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xc46f,0xc470,1,code,code:1,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xc6db,0xc6dc,1,code,code:1,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xc6f6,0xc6f8,2,code,code:2,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xc727,0xc728,1,code,code:1,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xc73a,0xc754,26,code,code:26,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xc767,0xc768,1,code,code:1,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xc89b,0xc89c,1,code,code:1,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xca06,0xca14,14,code,code:14,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xd1cb,0xd1d0,5,code,code:5,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xd886,0xd888,2,code,code:2,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xdb0f,0xdb28,25,code,code:25,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xdb32,0xdb58,38,code,code:38,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xdc5d,0xdc64,7,code,code:7,,0,
60E0E500__vs__60E0E700_N3YLEE,60E0E500,60E0E700_N3YLEE,0xdc72,0xdcc0,78,code,code:78,,0,
