addr,result,reason
0x40,HALT, | SKIPREASONS {'oob-dispatch': 10} | HALT (correct) 0/10 (skipped=10)
0x4C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x64,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x7C,HALT, | SKIPREASONS {'oob-dispatch': 10} | HALT (correct) 0/10 (skipped=10)
0x31C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x3B0,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x3D4,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x3E0,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x41C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x450,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x4E0,skipped-all, | SKIPREASONS {'oob-dispatch': 10} | FAIL 0/10 (skipped=10)
0x572,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x5B0,skipped-all, | SKIPREASONS {'mirror-step-emu-exc': 10} | FAIL 0/10 (skipped=10)
0x624,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x636,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x6C8,HALT, | SKIPREASONS {'mirror-step-emu-exc': 10} | HALT (correct) 0/10 (skipped=10)
0x7C0,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x806,skipped-all, | SKIPREASONS {'step-limit-both': 10} | FAIL 0/10 (skipped=10)
0x87C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x8B4,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x8B8,skipped-all, | SKIPREASONS {'step-limit-both': 10} | FAIL 0/10 (skipped=10)
0x8CC,skipped-all, | SKIPREASONS {'step-limit-both': 10} | FAIL 0/10 (skipped=10)
0x8F6,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x9FC,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0xACE,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1008,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1038,HALT, | SKIPREASONS {'oob-dispatch': 10} | HALT (correct) 0/10 (skipped=10)
0x1090,HALT, | SKIPREASONS {'oob-dispatch': 10} | HALT (correct) 0/10 (skipped=10)
0x109C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x10FE,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1150,skipped-all, | SKIPREASONS {'step-limit-both': 10} | FAIL 0/10 (skipped=10)
0x1182,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x11C4,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x11CC,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x11FA,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x125C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1272,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1298,skipped-all, | SKIPREASONS {'oob-dispatch': 10} | FAIL 0/10 (skipped=10)
0x12A2,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1364,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1378,skipped-all, | SKIPREASONS {'step-limit-both': 10} | FAIL 0/10 (skipped=10)
0x1414,skipped-all, | SKIPREASONS {'step-limit-both': 10} | FAIL 0/10 (skipped=10)
0x154C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x15A6,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1624,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1654,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x16DC,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x170A,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1774,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x17F0,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1858,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x197A,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x19CE,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1A50,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1AC0,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1AD6,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1C04,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1D30,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1D78,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1E34,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1E4C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1E72,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1E94,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1EB2,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1ED0,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1FA2,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1FBC,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x1FE2,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2034,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2044,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2054,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2064,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2068,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x20AC,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x20C4,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x20DC,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2120,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x213C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2158,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2304,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x231C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x239C,skipped-all, | SKIPREASONS {'step-limit-both': 10} | FAIL 0/10 (skipped=10)
0x23B0,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x23DC,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x23E4,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x23F4,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2404,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2420,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2430,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2440,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2460,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2478,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2490,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x24C0,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x24D0,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2500,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2510,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x253C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x256C,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2598,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x25C8,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x25F4,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2624,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2658,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2678,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2690,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x26B0,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x26D0,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x26F4,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x2710,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x2728,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x2740,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x2758,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x2770,HALT, | SKIPREASONS {'emu-exc': 10} | HALT (correct) 0/10 (skipped=10)
0x2788,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x27A0,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x27B8,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x27D0,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x27E8,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x2938,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x2980,HALT, | SKIPREASONS {'emu-exc': 10} | HALT (correct) 0/10 (skipped=10)
0x29E0,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x2B18,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x2BD8,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x2C50,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x2F20,HALT, | SKIPREASONS {'table-miss': 10} | HALT (correct) 0/10 (skipped=10)
0x2FC8,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x31F0,HALT, | SKIPREASONS {'oob-dispatch': 10} | HALT (correct) 0/10 (skipped=10)
0x3220,HALT, | SKIPREASONS {'step-limit-both': 10} | HALT (correct) 0/10 (skipped=10)
0x3238,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x3280,skipped-all, | SKIPREASONS {'emu-exc': 10} | FAIL 0/10 (skipped=10)
0x33B6,HALT, | SKIPREASONS {'emu-exc': 10} | HALT (correct) 0/10 (skipped=10)
0x3490,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x3588,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x35CC,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x35EE,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x3610,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x36D4,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x375C,HALT," | SKIPREASONS {'oob-dispatch': 2, 'emu-exc': 8} | HALT (correct) 0/10 (skipped=10)"
0x3854,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x3920,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
0x3934,PASS, | SKIPREASONS {} | PASS 10/10 (skipped=0)
