addr,status,reason
64,stubbed,"callee-cfg 64 ('unmapped', 70)"
76,lifted,walk (proto-run)
100,lifted,walk (proto-run)
124,lifted,walk (proto-run)
796,skip,already-lib
944,skip,already-lib
980,lifted,walk (proto-run)
992,skip,already-lib
1052,lifted,walk (proto-run)
1104,lifted,walk (proto-run)
1248,skip,already-lib
1394,lifted,walk (proto-run)
1456,lifted,walk (proto-run)
1572,skip,already-lib
1590,skip,already-lib
1736,lifted,walk (proto-run)
1984,lifted,cfg
2054,lifted,cfg
2172,lifted,cfg
2228,lifted,walk
2232,lifted,cfg
2252,skip,already-lib
2294,skip,already-lib
2556,lifted,cfg
2766,skip,already-lib
4104,lifted,cfg
4152,skip,already-lib
4240,stubbed,"callee-cfg 4240 ('unmapped', 4246)"
4252,lifted,walk
4350,skip,already-lib
4432,lifted,walk
4482,lifted,walk
4548,lifted,walk
4556,lifted,walk
4602,skip,already-lib
4700,lifted,walk
4722,lifted,walk
4760,lifted,walk
4770,lifted,walk
4964,lifted,walk
4984,lifted,cfg
5140,merged,round 6: midfunc entry merged into parent (parent continuation); lib emitted; emu raises NotImplementedError at entry (garbage pr) -> test skipped=1
5452,lifted,cfg
5542,lifted,cfg
5668,lifted,cfg
5716,lifted,cfg
5852,lifted,walk
5898,lifted,cfg
6004,lifted,cfg
6128,lifted,cfg
6232,lifted,cfg
6522,lifted,cfg
6606,lifted,cfg
6736,lifted,cfg
6848,lifted,walk
6870,lifted,cfg
7172,lifted,cfg
7472,lifted,cfg
7544,lifted,cfg
7732,lifted,walk
7756,lifted,walk
7794,lifted,walk
7828,skip,already-lib
7858,skip,already-lib
7888,skip,already-lib
8098,lifted,walk
8124,skip,already-lib
8162,lifted,cfg
8244,skip,already-lib
8260,skip,already-lib
8276,skip,already-lib
8292,skip,already-lib
8296,skip,already-lib
8364,skip,already-lib
8388,skip,already-lib
8412,skip,already-lib
8480,skip,already-lib
8508,skip,already-lib
8536,lifted,cfg
8964,skip,already-lib
8988,skip,already-lib
9116,skip,already-lib
9136,skip,already-lib
9180,skip,already-lib
9188,skip,already-lib
9204,skip,already-lib
9220,skip,already-lib
9248,skip,already-lib
9264,skip,already-lib
9280,skip,already-lib
9312,skip,already-lib
9336,skip,already-lib
9360,skip,already-lib
9408,skip,already-lib
9424,skip,already-lib
9472,skip,already-lib
9488,skip,already-lib
9532,skip,already-lib
9580,skip,already-lib
9624,skip,already-lib
9672,skip,already-lib
9716,skip,already-lib
9764,lifted,cfg
9816,lifted,cfg
9848,lifted,cfg
9872,lifted,cfg
9904,lifted,cfg
9936,lifted,cfg
9972,lifted,cfg
10000,lifted,walk
10024,lifted,walk
10048,lifted,walk
10072,lifted,walk
10096,lifted,walk
10120,lifted,walk
10144,lifted,walk
10168,lifted,walk
10192,lifted,walk
10216,lifted,walk
10552,lifted,walk
10624,lifted,walk
10720,lifted,walk
11032,lifted,walk
11224,lifted,walk
11344,lifted,walk
12064,lifted,walk
12232,lifted,walk
12784,lifted,walk
12832,lifted,walk
12856,lifted,cfg
12928,lifted,cfg
13238,stubbed,"callee-cfg 13238 ('unmapped', 13240)"
13456,lifted,cfg
13704,lifted,walk
13772,skip,already-lib
13806,skip,already-lib
13840,lifted,cfg
14036,lifted,cfg
14172,lifted,cfg
14420,lifted,cfg
14624,skip,already-lib
14644,skip,already-lib
14676,lifted,walk
14692,lifted,cfg
14778,lifted,cfg
14888,lifted,cfg
15040,lifted,cfg
15064,skip,already-lib
15348,skip,already-lib
15402,lifted,cfg
15464,lifted,walk
15488,lifted,cfg
15704,skip,already-lib
15788,lifted,walk
15792,lifted,cfg
15888,lifted,cfg
16064,lifted,walk
16144,lifted,cfg
16264,lifted,walk
16268,lifted,walk
16272,lifted,walk
16284,lifted,walk
16296,lifted,walk
16304,lifted,cfg
16360,lifted,cfg
16540,skip,already-lib
16708,skip,already-lib
16908,lifted,cfg
16920,lifted,cfg
17072,skip,already-lib
17160,lifted,cfg
17352,lifted,cfg
17632,lifted,cfg
18042,lifted,walk
18124,skip,already-lib
18240,lifted,cfg
18450,stubbed,"callee-cfg 18450 ('midfunc_nop', 18450)"
18460,lifted,cfg
18632,lifted,cfg
19300,lifted,cfg
19324,lifted,walk
19332,lifted,cfg
19356,lifted,walk
19380,lifted,walk
19388,skip,already-lib
19404,lifted,walk
19412,lifted,walk
19428,lifted,walk
19476,skip,already-lib
19568,lifted,walk
19574,lifted,cfg
19578,lifted,walk
19584,skip,already-lib
19638,lifted,cfg
19696,skip,already-lib
19758,lifted,cfg
19946,lifted,walk
19950,lifted,walk
19974,lifted,walk
19978,lifted,walk
19982,lifted,walk
19986,lifted,walk
20076,lifted,walk
20224,lifted,walk
20438,lifted,walk
20512,lifted,walk
20516,lifted,walk
20530,lifted,walk
20534,lifted,walk
20538,lifted,walk
20542,lifted,walk
20566,lifted,walk
20570,lifted,walk
20574,lifted,walk
20578,lifted,walk
20646,lifted,walk
20650,lifted,walk
20936,lifted,walk
21034,lifted,walk
21118,lifted,walk
21134,lifted,walk
21138,lifted,cfg
21168,lifted,walk
21320,lifted,walk
21342,lifted,cfg
21408,lifted,walk
21414,lifted,walk
21418,lifted,walk
21422,lifted,walk
21430,lifted,walk
21442,lifted,walk
21446,lifted,walk
21458,lifted,walk
21470,lifted,walk
21482,lifted,walk
21494,lifted,walk
21506,lifted,walk
21518,lifted,walk
21530,lifted,walk
21542,lifted,walk
21556,lifted,walk
21620,lifted,walk
21634,lifted,walk
21648,lifted,walk
21658,lifted,walk
21670,lifted,walk
21682,lifted,walk
21694,lifted,walk
