bank,addr,end,src_name,source,flag,lift_name,verified,also_sources,category
60E0E500,0x0000f4,0x000100,FUN_0000f4,derived,,build_be32_from_bytes_f4,,,Peripherals & ISR
60E0E500,0x000100,0x00011A,FUN_000100,derived,,,,,Peripherals & ISR
60E0E500,0x00011a,0x000338,FUN_00011a,derived,,,,,Memory & CRC
60E0E500,0x000338,0x00044E,FUN_000338,derived,,,,,Peripherals & ISR
60E0E500,0x00044e,0x000450,FUN_00044e,derived,NOISE,,,,Memory & CRC
60E0E500,0x000450,0x00047C,FUN_000450,derived,,,,,Memory & CRC
60E0E500,0x00047c,0x0004E0,FUN_00047c,derived,,,,,Memory & CRC
60E0E500,0x0004e0,0x000572,main_init,ghidra-hand-xmap,,,YES,connor-xmap,Boot & Init
60E0E500,0x000572,0x0005B0,wdt_init,ghidra-hand-xmap,,wdt_init_572,,connor-xmap,Boot & Init
60E0E500,0x0005b0,0x000624,checkWatchdogTimer_OVRCOUNT,ghidra-hand-xmap,,,,,Peripherals & ISR
60E0E500,0x000624,0x000636,FUN_000624,derived,,is_eeprom_valid_624,,,Memory & CRC
60E0E500,0x000636,0x0007C0,FUN_000636,derived,,,,,Memory & CRC
60E0E500,0x0007c0,0x000806,FUN_0007c0,derived,,,,,Peripherals & ISR
60E0E500,0x000806,0x0008CC,FUN_000806,derived,,,,,Faults & DTC
60E0E500,0x0008cc,0x0008F6,FUN_0008cc,derived,,,,connor-xmap,Boot & Init
60E0E500,0x0008f6,0x0009C0,FUN_0008f6,derived,,gpio_init_8f6,,connor-xmap,Boot & Init
60E0E500,0x0009c0,0x0009DE,FUN_0009c0,derived,,spi_set_clk_high_wait_9c0,,,Peripherals & ISR
60E0E500,0x0009de,0x0009FC,FUN_0009de,derived,,spi_set_clk_low_wait_9de,,,Peripherals & ISR
60E0E500,0x0009fc,0x000ACE,FUN_0009fc,derived,,,,,Peripherals & ISR
60E0E500,0x000ace,0x000AE8,FUN_000ace,derived,,sensor_sequential_ace_ace,,,Sensors
60E0E500,0x000ae8,0x001008,FUN_000ae8,derived,,,,,Memory & CRC
60E0E500,0x001008,0x00154C,FUN_001008,derived,,validate_rom_calibration_id,,,Memory & CRC
