bank,addr,name,category,confidence,signal
60E1D400,0x40,vector_trampoline_set_sp,Boot & Init,1.000,name
60E1D400,0x4C,serial_rx_handler_ch0,CAN Bus,1.000,name
60E1D400,0x64,serial_rx_handler_ch1,CAN Bus,1.000,name
60E1D400,0x7C,exception_context_restore,Boot & Init,1.000,name
60E1D400,0x8A,serial_data_read_handler,Peripherals & ISR,1.000,name
60E1D400,0xC0,serial_rx_handler_ch2,CAN Bus,1.000,name
60E1D400,0xD8,fatal_error_infinite_loop,Faults & DTC,1.000,name
60E1D400,0xF4,build_be32_from_bytes,Utilities,0.9,assembly
60E1D400,0x11A,calculate_checksum,Memory & CRC,1.000,name
60E1D400,0x170,hw_init_1,Boot & Init,1.000,name
60E1D400,0x210,diag_transfer_210,Faults & DTC,1.000,name
60E1D400,0x31C,watchdogTimerRead,Peripherals & ISR,1.000,name
60E1D400,0x338,serial_dispatch,Peripherals & ISR,1.000,name
60E1D400,0x364,task_scheduler_dispatch,RTOS,1.000,name
60E1D400,0x3B0,task_queue_get_next,RTOS,1.000,name
60E1D400,0x3D4,hw_init_3,Boot & Init,1.000,name
60E1D400,0x3E0,task_queue_pending_count,RTOS,1.000,name
60E1D400,0x41C,hw_init_2,Boot & Init,1.000,name
60E1D400,0x450,eeprom_read_validate,Memory & CRC,1.000,name
60E1D400,0x4E0,main_init,Boot & Init,1.000,name
60E1D400,0x572,wdt_init,Boot & Init,1.000,name
60E1D400,0x5B0,checkWatchdogTimer_OVRCOUNT,Peripherals & ISR,1.000,name
60E1D400,0x624,is_eeprom_valid,Memory & CRC,1.000,name
60E1D400,0x636,validate_data_block_header,Memory & CRC,1.000,name
60E0FC00,0x6C8,boot_serial_dispatch_loop,Boot & Init,1.000,name
60E1D400,0x7C0,serial_data_write_handler,Peripherals & ISR,1.000,name
60E1D400,0x806,diag_transfer_806,Faults & DTC,1.000,name
60E1D400,0x87C,memset_ram_bounded,Memory & CRC,1.000,name
60E0FC00,0x8B4,Illegal_instr,Boot & Init,1.000,name
60E1D400,0x8B8,Manual_Reset,Boot & Init,1.000,name
60E1D400,0x8CC,bsc_init,Boot & Init,1.000,name
60E1D400,0x8F6,gpio_init,Boot & Init,1.000,name
60E1D400,0x9C0,spi_set_clk_high_wait,Peripherals & ISR,1.000,name
60E1D400,0x9DE,spi_set_clk_low_wait,Peripherals & ISR,1.000,name
60E1D400,0x9FC,atu_configure_io_channel,Peripherals & ISR,1.000,name
60E1D400,0xACE,sensor_sequential_ace,Sensors,1.000,name
60E1D400,0xAE8,write_verify_bytes,Memory & CRC,1.000,name
60E1D400,0x1008,validate_rom_calibration_id,Memory & CRC,1.000,name
60E1D400,0x1038,secondary_boot_init,Boot & Init,1.000,name
60E0FC00,0x1090,rtos_switch_stack_and_jump,RTOS,1.000,name
60E1D400,0x1094,can_jump_1094,CAN Bus,1.000,name
60E0FC00,0x109C,resetOBDCAN?,OBD / UDS,1.000,name
60E1D400,0x10A0,reset_stack_pointer,Boot & Init,1.000,name
60E1D400,0x10AC,atu_timer_init,Boot & Init,1.000,name
60E0FC00,0x10FE,can_rx_mailbox_ready_process,CAN Bus,1.000,name
60E1D400,0x1116,atu_channel_transfer,Peripherals & ISR,1.000,name
60E0FC00,0x1150,can_mbox_send8_wait_ready,CAN Bus,1.000,name
60E1D400,0x1168,atu_wait_and_transfer,Peripherals & ISR,1.000,name
60E0FC00,0x1182,can_mailbox_tx_write,CAN Bus,1.000,name
60E1D400,0x119A,atu_clear_status_flags,Peripherals & ISR,1.000,name
60E0FC00,0x11C4,writeImmoBitZero?,OBD / UDS,1.000,name
60E0FC00,0x11CC,checkWatchdogForOverflowandReset,Boot & Init,1.000,name
60E1D400,0x11E0,clear_comm_counter,Peripherals & ISR,1.000,name
60E1D400,0x11E8,checkWatchdogForOverflowandReset,Boot & Init,1.000,name
60E0FC00,0x11FA,uds_resp_frame_build_send,OBD / UDS,1.000,name
60E1D400,0x1216,serial_build_and_send_frame,Peripherals & ISR,1.000,name
60E0FC00,0x125C,flag_predicate_on_dfa2,Other / Unclassified,0.000,none
60E0FC00,0x1272,load_ptr_global_dfa2,Other / Unclassified,0.000,none
60E1D400,0x1278,serial_try_receive,Peripherals & ISR,1.000,name
60E1D400,0x128E,get_rx_buffer_ptr,CAN Bus,1.000,name
60E0FC00,0x1298,callManualReset?,Boot & Init,1.000,name
60E0FC00,0x12A2,init_fault_counter_table,Boot & Init,1.000,name
60E1D400,0x12BE,atu_configure_all_channels,Peripherals & ISR,1.000,name
60E0FC00,0x1364,resetWatchdog?,Boot & Init,1.000,name
60E0FC00,0x1378,diag_serial_command_dispatch,Faults & DTC,1.000,name
60E1D400,0x1380,wdt_disable,RTOS,1.000,name
60E0FC00,0x1414,uds_diag_service_dispatcher,OBD / UDS,1.000,name
60E0FC00,0x154C,kwp_short_frame_init_append,OBD / UDS,1.000,name
60E1D400,0x1572,diag_start_session_handler,Faults & DTC,1.000,name
60E0FC00,0x15A6,kwp_session_frame_init,OBD / UDS,1.000,name
60E1D400,0x15CC,diag_read_memory_by_addr,Faults & DTC,1.000,name
60E0FC00,0x1624,can_send_fc_flow_ctrl_frame,CAN Bus,1.000,name
60E1D400,0x1648,diag_send_status_frame,Faults & DTC,1.000,name
60E0FC00,0x1654,kwp_frame_append_to_session_buf,OBD / UDS,1.000,name
60E1D400,0x1678,diag_transfer_data_handler,Faults & DTC,1.000,name
60E0FC00,0x16DC,handleException?,Boot & Init,1.000,name
60E1D400,0x16EE,atu_reset_transfer_timers,Boot & Init,1.000,name
60E0FC00,0x170A,uds_neg_resp_build_28,OBD / UDS,1.000,name
60E1D400,0x1720,diag_reset_session_state,Faults & DTC,1.000,name
60E1D400,0x174E,diag_send_negative_response,Faults & DTC,1.000,name
60E1D400,0x175C,diag_send_security_key_resp,Faults & DTC,1.000,name
60E1D400,0x1770,diag_request_download_sid10,Faults & DTC,1.000,name
60E0FC00,0x1774,uds_neg_resp_build_85,OBD / UDS,1.000,name
60E1D400,0x17D8,diag_security_access_sid27,Faults & DTC,1.000,name
60E0FC00,0x17F0,boot_serial_mode_dispatch,Boot & Init,0.400,assembly
60E0FC00,0x1858,diag_security_access_sid27,Faults & DTC,1.000,name
60E1D400,0x1908,diag_tester_present_sid3E,Faults & DTC,1.000,name
60E1D400,0x1970,diag_ecu_reset_sid11,Faults & DTC,1.000,name
60E0FC00,0x197A,uds_neg_resp_build_3e,OBD / UDS,1.000,name
60E0FC00,0x19CE,uds_neg_resp_build_11,OBD / UDS,1.000,name
60E1D400,0x19DA,diag_read_data_sid22,Faults & DTC,1.000,name
60E1D400,0x1A42,diag_write_timing_sid3B,Faults & DTC,1.000,name
60E0FC00,0x1A50,uds_neg_resp_build_22,OBD / UDS,1.000,name
60E1D400,0x1A70,diag_request_download_sid34,Faults & DTC,1.000,name
60E0FC00,0x1AC0,uds_neg_resp_build_3b,OBD / UDS,1.000,name
60E0FC00,0x1AD6,diag_transfer_data_handler,Faults & DTC,1.000,name
60E1D400,0x1B8C,diag_transfer_data_sid36,Faults & DTC,1.000,name
60E0FC00,0x1C04,diag_transfer_data_sid36,Faults & DTC,1.000,name
60E1D400,0x1CB8,diag_transfer_exit_sid37,Faults & DTC,1.000,name
60E1D400,0x1D00,diag_custom_cmd_B1,Faults & DTC,1.000,name
60E0FC00,0x1D30,uds_neg_resp_build_37,OBD / UDS,1.000,name
60E0FC00,0x1D78,uds_neg_resp_build_b1,OBD / UDS,1.000,name
60E1D400,0x1DBC,atu_read_timer_value,Peripherals & ISR,1.000,name
60E1D400,0x1DD4,atu_write_compare_value,Peripherals & ISR,1.000,name
60E1D400,0x1DFA,atu_read_capture_value,Peripherals & ISR,1.000,name
60E1D400,0x1E1C,atu_set_channel_mode,Peripherals & ISR,1.000,name
60E0FC00,0x1E34,uds_neg_resp_build_nrc11,OBD / UDS,1.000,name
60E1D400,0x1E3A,atu_clear_channel_flags,Peripherals & ISR,1.000,name
60E0FC00,0x1E4C,be_bytes4_to_u32,Utilities,0.9,assembly
60E1D400,0x1E58,atu_configure_channel_full,Peripherals & ISR,1.000,name
60E0FC00,0x1E72,bytes3_be_to_uint24,Utilities,0.9,assembly
60E0FC00,0x1E94,uds_sci_flag_set_wait_clear,OBD / UDS,0.400,assembly
60E0FC00,0x1EB2,uds_sci_flag_clear_wait_clear,OBD / UDS,0.400,assembly
60E0FC00,0x1ED0,uds_frame_pack_bits_bytes,OBD / UDS,0.500,assembly
60E1D400,0x1F2A,copy_data_to_buffer,Memory & CRC,1.000,name
60E1D400,0x1F52,copy_buffer_to_data,Memory & CRC,1.000,name
60E1D400,0x1F80,atu_read_rx_status,CAN Bus,1.000,name
60E1D400,0x1FA2,atu_get_rx_byte_count,CAN Bus,1.000,name
60E0FC00,0x1FBC,copy_bytes_readback_verify,Memory & CRC,1.000,name
60E0FC00,0x1FE2,can_mailbox_reg_byte_nibble,CAN Bus,1.000,name
60E1D400,0x2034,checksum_complement_add,Memory & CRC,1.000,name
60E1D400,0x2044,diag_invertandreturn_2044,Faults & DTC,1.000,name
60E1D400,0x2054,setSR_PARAM,Memory & CRC,1.000,name
60E1D400,0x2064,loadStatusRegister_ADDR,Peripherals & ISR,1.000,name
60E1D400,0x2068,2DLookup,Math / FPU,1.000,name
60E1D400,0x20AC,fpu_add_float,Math / FPU,1.000,name
60E1D400,0x20C4,fpu_sub_float,Math / FPU,1.000,name
60E1D400,0x20DC,3dLookup,Math / FPU,1.000,name
60E1D400,0x2120,fpu_int_to_float,Math / FPU,1.000,name
60E1D400,0x213C,fpu_float_to_int,Math / FPU,1.000,name
60E1D400,0x2158,diag_longfunc_2158,Faults & DTC,1.000,name
60E1D400,0x2304,addS32Saturate,Math / FPU,1.000,name
60E1D400,0x231C,mul32_saturated,Math / FPU,1.000,name
60E1D400,0x239C,delay_loop_n8,Utilities,1.000,name
60E1D400,0x23B0,firstOrderFilter,Math / FPU,1.000,name
60E1D400,0x23DC,fpu_neg_float,Math / FPU,1.000,name
60E1D400,0x23E4,fpu_mul_float,Math / FPU,1.000,name
60E1D400,0x23F4,fpu_sqrt_float,Math / FPU,1.000,name
60E1D400,0x2404,fpu_compare_and_select,Math / FPU,1.000,name
60E1D400,0x2420,math_complement_2420,Math / FPU,1.000,name
