# Consolidated function renames (FINAL) — applied to symbols/FUNCTION_CATEGORIES.csv as checkpoint.
# Provenance: /tmp/renames/CONSOLIDATED_final.csv (auto renames + deep-analysis + preserved human names, consolidated).
# Generated: 2026-08-04. Columns: bank,addr,old_name,new_name,confidence,reason.
60E0FC00,0x5D0B0,FUN_0005d0b0,eeprom_shadow_write_state_task,0.7,"State machine (states 0-3 on byte 0xFFFFD1C2) run from central dispatcher FUN_000115aa; calls writeToE2RAMArea_INDEX_ADDR_LEN(idx=120,len=2) and FUN_00037ffc (E2-shadow writer @0xFFFFC4B2, SR-guarded), counts loops at 0xFFFFD1C0 to 0x4E2=1250 then advances state, ends via osTaskScheduler; refs UDSModeFF; timeboxed 6min, region 4392B contains tables+code (entry function is the task)"
60E0FC00,0x40302,FUN_00040302,eeprom_float_adapt_update,0.7,"Saturating accumulator over EEPROM-shadow float cells 0xFFFFC700-0xFFFFC809 (fsub/fadd + jsr saturateLow_SIGNAL_LOWERBOUND/minValue clamps); compares vs 0x0007980C, gated by byte 0xFFFFC7FE==1; FPU-heavy, epilogue writes 0xFFFFC809; no callers in graph (ptr-called); 6min timeboxed"
60E0FC00,0x24D3E,interstingFunc,fp_cal_table_b48c_init_alt,0.6,"Builds fixed-point cal descriptor table 0xFFFFB48C offsets +6/+8/+0xE/+0x10/+0x12 from float cals 0x6FA60 (via readValue 0x3E1AA) and RAM word 0xAA38, floatToFP 0x2490; sibling of fp_cal_table_b48c_init(0x24040); reached via 0x23FEE from diag_buildRamBlockChecksum(0x23F40) cluster"
60E1D400,0x3A764,extended_control_dispatcher_3a764,fuel_dispatcher_3a764,0.3,extended_control_dispatcher_3a764
60E1D400,0x26AC8,integrated_control_algorithm_26AC8,fuel_integrated_26ac8,0.3,integrated_control_algorithm_26AC8
60E0FC00,0x47862,FUN_00047862,throttle_sensor_learn_cal,0.85,"Called by getThrottleControl(0x237F4); reads TPS ADC bytes 0x80C6/0x80C4/0x80C8/0x80CA + floats 0xB594/0xB5DC/0xA9FC, calib floats 0x7AE54-0x7AE68, subtractAbsolute then writes learn-flags to E2 shadow 0xFFFFCBBC-0xFFFFCBC0 after threshold fcmp tests vs RAM status 0xCB68/0xCB69/0xC638/0xCB91"
60E0FC00,0x2F092,FUN_0002f092,ac_compressor_load_calc,0.7,"Called by acCompressorControlMain(0x2F5DA); reads sensor floats/bytes (0xA9FC,0xB594,0xBBE8,0xB580,0xAAC6), 2DLookup tables 0x68E1C/0x68E30, compares vs cal words 0x76650/0x76652, add16bitSaturate, writes load/flags to RAM 0xFFFFBD8E-0xFFFFBDBC"
60E1D400,0x487DC,split_selector_state_ctrl_487DC,math_selector_487dc,0.3,split_selector_state_ctrl_487DC
60E0FC00,0x1EEA8,LTFTRelated,math_ltftrelated_1eea8,0.7,add16bitSaturate_ADD1_ADD2;readValue_float_DEFAULTVAL_ADDRESS;updateMemoryAtAddress_float_VAL_ADDR
60E1D400,0x3A2F8,control_system_dispatcher_3a2f8,fuel_dispatcher_3a2f8,0.3,control_system_dispatcher_3a2f8
60E0FC00,0x1D2E0,FUN_0001d2e0,fuel_rotor_charge_calc,0.6,"Called by engineControlGetFueling(0x217B2); 2D+3D lookups (tbl 0x6FCE4), firstOrderFilter, floatDivide w/ 0xFFFFB0B0, divides data, initializes 20-float array at 0xFFFFAF2C and per-rotor cells 0xAE50..0xAE5C; fuel/injector mass per working-rotor calc"
60E1D400,0x1D434,combustion_feedback_calc_1D434,combustion_feedback_calc_1D434,0.9,already descriptive human name preserved
60E1D400,0x1DDB0,transmission_load_control_1DDB0,transmission_load_control_1DDB0,0.9,already descriptive human name preserved
60E0FC00,0x19BE4,FUN_00019be4,throttle_pedal_signal_calc,0.5,"Throttle subsystem (caller 0x1A728 under throttleTask); subtractAbsolute/minValue/saturate/updateMemory, reads floats 0xAA10..0xAA30 + bytes 0xCB6B/0xCB6C, cal floats 0x6F574..0x6F580, writes 0xFFFFAA48..0xFFFFAA66"
60E1D400,0x19480,exhaust_oxygen_control_19480,exhaust_oxygen_control_19480,0.9,already descriptive human name preserved
60E0FC00,0x44648,FUN_00044648,dtc_fault_counter_update,0.6,"Called by 0x39342 (throttleTask fault cluster); cal modes 0x7AFD8/0x7AFDA, ADC 0xADC0, threshold 0xB518, writes E2-shadow counters/words 0xFFFFCAA6..0xFFFFCABA, calls updateFaultStatusTHUNK(0x5E644)"
60E0FC00,0x1BEA2,FUN_0001bea2,throttle_sensor_filter_calc,0.5,"Throttle subsystem (caller 0x1A728); readValue TPS ADC 0x80C4/0x80C6, status byte 0xCB97, firstOrderFilter, writes flags to RAM 0xFFFFADCC..0xFFFFAE37"
60E0FC00,0xA522,FUN_0000a522,os_task_table_dispatcher,0.7,"Function-pointer dispatch table @0x0000D888 (9-entry @0xD8F0), counters 0xFFFFA1A0/0xFFFFA1A2, calls ptr fns, SR ctl via setSR_PARAM/loadStatusRegister_ADDR; no callers (ptr/ISR called)"
60E1D400,0x18552,omp_stepper_waveform_driver,omp_stepper_waveform_driver,0.9,already descriptive human name preserved
60E0FC00,0x18FD6,FUN_00018fd6,load_calc_state_machine,0.5,"In engine-load/air-charge region (next: engine_load_estimator_0x190A6); manages load cells 0xFFFFA9C1..0xFFFFA9CC vs cal byte 0x6F1EA, reads RPM 0xB594/baro 0xA9FC, mode gating on byte 0xA41C; addSaturate8Bit + in-fn helpers"
60E1D400,0x1A4A4,combustion_efficiency_estimator,combustion_efficiency_estimator,0.9,already descriptive human name preserved
60E0FC00,0x56398,FUN_00056398,uds_service_dispatch,0.7,"Called by main dispatcher 0x115AA; UDS session RAM 0xFFFFD038..0xFFFFD040, calls setupForUdsResponse?/udsResponseRelated/returnFaultCode/dtcRelated/FUN_664ac, response len setup 0x58/0x18"
60E1D400,0x2CCCC,calc_duty_cycle_state_2CCCC_29BE8,calc_duty_cycle_state_2CCCC_29BE8,0.9,already descriptive human name preserved
60E0FC00,0x1BC16,FUN_0001bc16,throttle_drive_filter_calc,0.5,"Throttle subsystem (caller 0x1A728); firstOrderFilter on floats 0xB4FC/0xB500 with cal coeffs 0x6FA30/0x6FA34, reads 0x875C/0xFFFF80D4/0xFFFF80DC, writes 0xFFFFADEC..0xFFFFAE35"
60E1D400,0x1C0FA,FUN_0x1C0FA,closed_loop_dual_integrator,0.5,"Large closed-loop controller: two f32 integrators 0xFFFF80D4/80DC, error terms fr12/fr13, cal gains 0x6FF28-6FF58, fadd/fsub accumulation, saturate 0x2404, first-order filters 0x23B0/0x23DC, gated by 0xCCD8/0xCCD9/0xCCFC/0xCD01/0xB569/0xB55D states"
60E1D400,0x5A530,pollen_filter_0x5A530,pollen_filter_0x5A530,0.9,already descriptive human name preserved
60E1D400,0x48C42,FUN_0x48C42,diag_monitor_enable_timer,0.6,"Long enable gate: ~35 condition bytes (0xCC5C/0xCC34/35/40/41/2C/14/AD/54/9D/A4/A8/8A/8B + 0xB564-B589) must all be 1, then fault-present check 0x3ED3C on 0xFFFF8784, saturating counter 0xCCCC vs cal 0x7C29C, sets enable flag 0xCCE4"
60E1D400,0x42F08,FUN_0x42F08,state_machine_threshold_update,0.4,"Cal-threshold state machine over RAM block 0xFFFFC9A4-C9DB: reset path clears all fields on 0xD201, counter 0xC9D0/0xC9CE vs cal words 0x7ADF8-FE, floats vs 0x7AE1C/20, dispatch via ptr 0x60774 + check 0x660CC when state 0xC99C set"
60E1D400,0x40470,control_validation_calc_40678,control_validation_calc_40678,0.9,already descriptive human name preserved
60E1D400,0x2346C,engine_load_calculation_2346C,engine_load_calculation_2346C,0.9,already descriptive human name preserved
60E1D400,0x52EB2,register_save_0x52EB2,math_register_52eb2,0.3,register_save_0x52EB2
60E0FC00,0x22868,FUN_00022868,evap_purge_calc,0.6,"Called by evapRelated(0x224F6); 2D/3D lookups 0x687E8/0x687FC/0x6882C, reads 0xBED8/0xBE20/0xAE50/0xB348/0xAA74/0xBE28, isNotZero_wDivideByZero_Protect, writes 0xFFFFB354/0xFFFFB37C/0xFFFFB380"
60E1D400,0x3DEEE,packet_processor_3DEEE,ign_processor_3deee,0.3,packet_processor_3DEEE
