address,proposed_name,confidence,source,notes
0xffff00b1,immo_eeprom,high,function_names+renames,fns: immo_eeprom_read_00b1 (x1); roles: immo_eeprom_read_00b1; cats: OBD / UDS(x1)
0xffff091a,ram_091a,low,function_names+renames,fns: uds_2f_iocontrol_entry_091a (x1); roles: uds_2f_iocontrol_entry_091a; cats: OBD / UDS(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffff096e,ram_096e,low,function_names+renames,fns: uds_2f_iocontrol_entry_096e (x1); roles: uds_2f_iocontrol_entry_096e; cats: OBD / UDS(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffff0f16,ram_0f16,low,function_names+renames,fns: dtc_status_write_pair_0f16 (x1); roles: dtc_status_write_pair_0f16; cats: Faults & DTC(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffff0ff8,ram_0ff8,low,function_names+renames,fns: obd_emit_io_bytes_0ff8 (x1); roles: obd_emit_io_bytes_0ff8; cats: OBD / UDS(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffff0ffb,obd_emit_io_bytes,high,function_names+renames,fns: obd_emit_io_bytes_0ffb (x1); roles: obd_emit_io_bytes_0ffb; cats: OBD / UDS(x1)
0xffff1000,ram_1000,low,function_names+renames,fns: init_word_ca80_1000 (x1); roles: init_word_ca80_1000; cats: Boot & Init(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffff173a,dtc_status_or_zero,medium,function_names+renames,fns: dtc_status_c1_clear_173a (x1); dtc_status_c0_or_zero_173a (x1); dtc_status_c0_retain_173a (x1); roles: dtc_status_c1_clear_173a; dtc_status_c0_or_zero_173a; dtc_status_c0_retain_173a; cats: Faults & DTC(x3); CAUTION: low16 also collides with a ROM function address
0xffff175c,ram_175c,low,function_names+renames,fns: uds_2f_iocontrol_entry_175c (x1); roles: uds_2f_iocontrol_entry_175c; cats: OBD / UDS(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffff175d,uds_iocontrol_entry,high,function_names+renames,fns: uds_2f_iocontrol_entry_175d (x1); roles: uds_2f_iocontrol_entry_175d; cats: OBD / UDS(x1)
0xffff17ac,ram_17ac,low,function_names+renames,fns: dtc_status_c0_clear_17ac (x1); roles: dtc_status_c0_clear_17ac; cats: Faults & DTC(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
