bank,addr,name
60E0FC00,0x125C,flag_predicate_on_dfa2
60E0FC00,0x1272,load_ptr_global_dfa2
60E0FC00,0x1E4C,be_bytes4_to_u32
60E0FC00,0x1E72,bytes3_be_to_uint24
60E0FC00,0x33B6,cal_learned_value_update
60E0FC00,0x4812,FUN_00004812
60E0FC00,0x5E78,fnptr_dispatch_d8d8_thunk
60E0FC00,0x5EEE,fnptr_dispatch_d8d8_thunk_5eee
60E0FC00,0x6648,obj_ptr_deref_callback_11cd4
60E0FC00,0x6652,obj_ptr_deref_callback_11cd8
60E0FC00,0x6666,obj_ptr_deref_callback_11ce0
60E0FC00,0x6EC4,mode_status_byte_update
60E0FC00,0x9C86,fnptr_dispatch_d8d8
60E0FC00,0x9C9C,fnptr_dispatch_d8dc
60E0FC00,0xA230,setupStructRotorNumber?
60E0FC00,0xB5FA,flag_a323_clear
60E0FC00,0xD3B8,clear_a3f9_if_not_state_2
60E0FC00,0xD716,set_flag_byte_a3fc
60E0FC00,0xE0E8,engine_ctrl_flags_a414_a415_set_ff
60E0FC00,0xE244,calculateEngineOnTime??
60E0FC00,0xE278,calculateEngineRunning
60E0FC00,0x11286,setEngineStatusRotor
60E0FC00,0x17D30,aux_ctrl_flags_write_a968_a976
60E0FC00,0x18FD6,load_calc_state_machine
60E0FC00,0x1A2E8,calculateKeyOnTime
60E0FC00,0x1A310,calculateKeyOffTime
60E0FC00,0x1A4E6,engineControlGetAir
60E0FC00,0x1A728,aux_driver_inputs_calc
60E0FC00,0x1A7FA,vehicleConditionRelatedFuntions
60E0FC00,0x1A940,updateVehicleConditions
60E0FC00,0x1B83C,sys_status_bit5_latch_ad7c
60E0FC00,0x21534,cond_flag_b2e0_multi_eval
60E0FC00,0x257D6,calculatePredictedEngineSpeed?
60E0FC00,0x274CE,dual_counter_inc_sat_on_flag
60E0FC00,0x27DA8,aux_condition_duration_counters
60E0FC00,0x2845C,debounce_counter_latch
60E0FC00,0x292BA,getSomeEngineConditions
60E0FC00,0x2A7AE,cond_flag_bb7c_eval
60E0FC00,0x2F092,ac_compressor_load_calc
60E0FC00,0x31BA0,turnOnSecondaryAir??
60E0FC00,0x31BF2,calculateSecondaryAirOnTime
60E0FC00,0x31DC0,sas_latch_engine_state_bf9c
60E0FC00,0x31ECC,sas_air_inj_on_time_calc
60E0FC00,0x32094,apv_duty_cycle_calc
