src,name,address,kind,dims,scale,offset,units,confidence,source
60E1D400,Barometric Pressure Sensor Max ADC Count,0x06cf6c,table,,,,,low,rx8_defs_60E1D400
60E1D400,Barometric Pressure Sensor Min ADC Count,0x06cf6e,table,,,,,low,rx8_defs_60E1D400
60E1D400,Barometric Pressure Sensor Min Voltage,0x07a930,table,,,,,low,rx8_defs_60E1D400
60E1D400,Barometric Pressure Sensor Max Voltage,0x07a934,table,,,,,low,rx8_defs_60E1D400
60E1D400,Barometric Pressure Sensor Slope,0x07a9c0,table,,,,,low,rx8_defs_60E1D400
60E1D400,Barometric Pressure Sensor Offset,0x07a9bc,table,,,,,low,rx8_defs_60E1D400
60E1D400,Cold Rev Limit,0x06d544,table,,,,,low,rx8_defs_60E1D400
60E1D400,Cold Rev Limit Threshold,0x06d53c,table,,,,,low,rx8_defs_60E1D400
60E1D400,Primary Injector Size,0x0783a0,table,,,,,low,rx8_defs_60E1D400
60E1D400,Secondary Injector Size,0x0783a8,table,,,,,low,rx8_defs_60E1D400
60E1D400,Secondary Injector Size #2,0x0783b0,table,,,,,low,rx8_defs_60E1D400
60E1D400,Rev Limit,0x06d54c,table,,,,,low,rx8_defs_60E1D400
60E1D400,Maximum Throttle Angle,0x073f6c,table,,,,,low,rx8_defs_60E1D400
60E1D400,Auxillary Valve Close,0x078cc0,table,,,,,low,rx8_defs_60E1D400
60E1D400,VDI Open,0x07a5a4,table,,,,,low,rx8_defs_60E1D400
60E1D400,Fuel Injector - Unknown - Max Injection Angle1???,0x06cfe4,table,1D,,,,high,rx8_defs_60E1D400
60E1D400,Fuel Injector - Unknown - Max Injection Angle1??? Y Axis,0x06cfa4,axis,1D,,,,high,axis_propagation
60E1D400,Fuel Injector - Unknown - Max Injection Angle2???,0x06d034,table,1D,,,,high,rx8_defs_60E1D400
60E1D400,Fuel Injector - Unknown - Max Injection Angle2??? Y Axis,0x06cff4,axis,1D,,,,high,axis_propagation
60E1D400,Fuel Injector - Unknown - Max Injection Angle3???,0x06d084,table,1D,,,,high,rx8_defs_60E1D400
60E1D400,Fuel Injector - Unknown - Max Injection Angle3??? Y Axis,0x06d044,axis,1D,,,,high,axis_propagation
60E1D400,Throttle Plate Something Fuel Cut (Map),0x06d114,table,1D,,,,high,consumer_noc_mapscan
60E1D400,Throttle Plate Something Fuel Cut (Map) Y Axis,0x06d0ec,axis,1D,,,,high,axis_propagation2
60E1D400,Off Throttle Fuel Cut - Fuel Resume - Engine Startup Base,0x06d138,table,1D,,,,high,rx8_defs_60E1D400
60E1D400,Off Throttle Fuel Cut - Fuel Resume - Engine Startup Base Y Axis,0x06d120,axis,1D,,,,high,axis_propagation
60E1D400,Idle Related,0x06d1e0,table,,,,,high,rx8_defs_60E1D400
60E1D400,Idle Related Y Axis,0x06d1a0,axis,1D,,,,medium,axis_propagation4
60E1D400,Ignition Maybe Idle Base,0x06d59c,table,,,,,high,rx8_defs_60E1D400
60E1D400,Ignition Maybe Idle Base Y Axis,0x06d584,axis,1D,,,,medium,axis_propagation4
60E1D400,Ignition Temp Correction?,0x06d5c8,table,,,,,high,rx8_defs_60E1D400
60E1D400,Ignition Temp Correction? Y Axis,0x06d5a4,axis,1D,,,,medium,axis_propagation4
60E1D400,Ignition 2,0x06d5ec,table,,,,,high,rx8_defs_60E1D400
60E1D400,Ignition 2 Y Axis,0x06d5d4,axis,1D,,,,medium,axis_propagation4
60E1D400,Ignition Leading 0,0x06d618,table,,,,,high,rx8_defs_60E1D400
60E1D400,Ignition Leading 0 Y Axis,0x06d5f4,axis,1D,,,,medium,axis_propagation4
60E1D400,Knock Correction - Light,0x06e4bc,table,1D,,,,high,docs_crossref
60E1D400,Knock Correction - Light Y Axis,0x06e4a4,axis,1D,,,,high,axis_propagation
60E1D400,Knock Correction - Medium,0x06e4e0,table,1D,,,,high,docs_crossref
60E1D400,Knock Correction - Medium Y Axis,0x06e4c8,axis,1D,,,,high,axis_propagation
60E1D400,Knock Correction - Heavy,0x06e504,table,1D,,,,high,docs_crossref
60E1D400,Knock Correction - Heavy Y Axis,0x06e4ec,axis,1D,,,,high,axis_propagation
60E1D400,Knock Detection Sensitivity,0x06e528,table,1D,,,,high,docs_crossref
60E1D400,Knock Detection Sensitivity Y Axis,0x06e510,axis,1D,,,,high,axis_propagation
60E1D400,Knock Retard,0x06e54c,table,1D,,,,high,docs_crossref
