addr,name,source,flag
0x000040,jumpToFunction,USER_DEFINED,USER_DEFINED
0x00031c,checkClearWDT,USER_DEFINED,USER_DEFINED
0x0004e0,resetHandler?,USER_DEFINED,USER_DEFINED
0x000572,serviceWDT,USER_DEFINED,USER_DEFINED
0x0005b0,checkWatchdogTimer_OVRCOUNT,USER_DEFINED,USER_DEFINED
0x0006c8,somethingWDTRelated??,USER_DEFINED,USER_DEFINED
0x0008b4,Illegal_instr,USER_DEFINED,USER_DEFINED
0x0008b8,Manual_Reset,USER_DEFINED,USER_DEFINED
0x0009fc,INT_ATU102_IMI10AG,USER_DEFINED,USER_DEFINED
0x001038,runResetConditon_UDSorPowerOn?,USER_DEFINED,USER_DEFINED
0x001090,runFunc,USER_DEFINED,USER_DEFINED
0x00109c,resetOBDCAN?,USER_DEFINED,USER_DEFINED
0x0011c4,writeImmoBitZero?,USER_DEFINED,USER_DEFINED
0x0011cc,checkWatchdogForOverflowandReset,USER_DEFINED,USER_DEFINED
0x001272,getCurrentCrankTooth?,USER_DEFINED,USER_DEFINED
0x001298,powerOnRun?,USER_DEFINED,USER_DEFINED
0x0012a2,reinitIO?,USER_DEFINED,USER_DEFINED
0x001364,serviceWDT2,USER_DEFINED,USER_DEFINED
0x001414,seemsImportant,USER_DEFINED,USER_DEFINED
0x0016dc,getResetType?,USER_DEFINED,USER_DEFINED
0x002044,invertAndReturn_8bit_ADDR,USER_DEFINED,USER_DEFINED
0x002054,setSR_PARAM,USER_DEFINED,USER_DEFINED
0x002064,loadStatusRegister_ADDR,USER_DEFINED,USER_DEFINED
0x002068,2DLookup,USER_DEFINED,USER_DEFINED
0x0020ac,2DLookup_FP_8bit,USER_DEFINED,USER_DEFINED
0x0020c4,2DLookup_FP_16bit,USER_DEFINED,USER_DEFINED
0x0020dc,3dLookup,USER_DEFINED,USER_DEFINED
0x002120,3DLookup_FP_8bit,USER_DEFINED,USER_DEFINED
0x00213c,3DLookup_FP_16bit,USER_DEFINED,USER_DEFINED
0x002158,fp_Divide?,USER_DEFINED,USER_DEFINED
0x00231c,multiply32Bit??,USER_DEFINED,USER_DEFINED
0x0023b0,firstOrderFilter_SIG_SIGPREV_MIN_FF,USER_DEFINED,USER_DEFINED
0x0023dc,subtractAbsolute,USER_DEFINED,USER_DEFINED
0x0023e4,saturateLow_SIGNAL_LOWERBOUND,USER_DEFINED,USER_DEFINED
0x0023f4,minValue,USER_DEFINED,USER_DEFINED
0x002404,saturate_SIGNAL_LOWER_UPPER,USER_DEFINED,USER_DEFINED
0x002420,encode??,USER_DEFINED,USER_DEFINED
0x002440,isNotZero_wDivideByZero_Protect,USER_DEFINED,USER_DEFINED
0x002460,add16bitSaturate_ADD1_ADD2,USER_DEFINED,USER_DEFINED
0x002478,addSaturate8Bit,USER_DEFINED,USER_DEFINED
0x002490,floatToFP_16bit_NUMBER_SCALAR_OFFSET,USER_DEFINED,USER_DEFINED
0x0024c0,fixedPointToFloat_16bit_MULT_OFF_SIG,USER_DEFINED,USER_DEFINED
0x0024d0,floatToInt_SIGNAL_MULT_OFFSET,USER_DEFINED,USER_DEFINED
0x002500,fixedPointToFloat_8bit_MULT_OFF_SIG,USER_DEFINED,USER_DEFINED
0x002510,fixedPointScaling?,USER_DEFINED,USER_DEFINED
0x00253c,interpolate_floatTable,USER_DEFINED,USER_DEFINED
0x00256c,lookup_char,USER_DEFINED,USER_DEFINED
0x002598,lookup_short,USER_DEFINED,USER_DEFINED
0x0025c8,interpolate_8bitTable,USER_DEFINED,USER_DEFINED
0x0025f4,interpolate_3d_uint16,USER_DEFINED,USER_DEFINED
