addr,name,source
0x00031C,watchdogTimerRead,ghidra-hand
0x0004E0,main_init,ghidra-hand
0x000572,wdt_init,ghidra-hand
0x0005B0,checkWatchdogTimer_OVRCOUNT,ghidra-hand
0x0008B4,Illegal_instr,ghidra-hand
0x0008B8,Manual_Reset,ghidra-hand
0x0009FC,INT_ATU102_IMI10AG,ghidra-hand
0x001038,reset_ZERO,ghidra-hand
0x00109C,resetOBDCAN?,ghidra-hand
0x0011C4,writeImmoBitZero?,ghidra-hand
0x0011CC,checkWatchdogForOverflowandReset,ghidra-hand
0x001298,callManualReset?,ghidra-hand
0x001364,resetWatchdog?,ghidra-hand
0x001414,seemsImportant,ghidra-hand
0x0016DC,handleException?,ghidra-hand
0x002044,invertAndReturn_8bit_ADDR,ghidra-hand
0x002054,setSR_PARAM,ghidra-hand
0x002064,loadStatusRegister_ADDR,ghidra-hand
0x002068,2DLookup,ghidra-hand
0x0020AC,2DLookup_FP_8bit,ghidra-hand
0x0020C4,2DLookup_FP_16bit,ghidra-hand
0x0020DC,3dLookup,ghidra-hand
0x002120,3DLookup_FP_8bit,ghidra-hand
0x00213C,3DLookup_FP_16bit,ghidra-hand
0x002158,LongFunc,ghidra-hand
0x00231C,mul32_saturated,ghidra-hand
0x0023B0,firstOrderFilter,ghidra-hand
0x0023DC,subtractAbsolute,ghidra-hand
0x0023E4,saturateLow_SIGNAL_LOWERBOUND,ghidra-hand
0x0023F4,minValue,ghidra-hand
0x002404,saturate_SIGNAL_LOWER_UPPER,ghidra-hand
0x002420,complement_shift_u8,ghidra-hand
0x002440,isNotZero_wDivideByZero_Protect,ghidra-hand
0x002460,add16bitSaturate_ADD1_ADD2,ghidra-hand
0x002478,addSaturate8Bit,ghidra-hand
0x002490,floatToFP_16bit_NUMBER_SCALAR_OFFSET,ghidra-hand
0x0024C0,fixedPointToFloat_16bit_MULT_OFF_SIG,ghidra-hand
0x0024D0,floatToInt_SIGNAL_MULT_OFFSET,ghidra-hand
0x002500,fixedPointToFloat_8bit_MULT_OFF_SIG,ghidra-hand
0x002510,interp_bilinear_weight_calc,ghidra-hand
0x00253C,interpolate_floatTable,ghidra-hand
0x00256C,lookup_char,ghidra-hand
0x002598,lookup_short,ghidra-hand
0x0025C8,interpolate_8bitTable,ghidra-hand
0x0025F4,interpolate_3d_uint16,ghidra-hand
0x002624,dataLookup,ghidra-hand
0x002658,indexLookupSomething,ghidra-hand
0x002678,interpolate_floatTable,ghidra-hand
0x002690,interpolate_shortTable,ghidra-hand
0x0026B0,interpolate_uint8Table,ghidra-hand
0x0026D0,interpolate_uint16Table,ghidra-hand
0x0026F4,interpolate_charTable,ghidra-hand
0x003920,getSR,ghidra-hand
0x003934,setSR,ghidra-hand
0x003A28,consistencyCheck,ghidra-hand
0x003C80,task_priority_scheduler,ghidra-hand
0x003D58,task_completion_handler,ghidra-hand
0x004144,mod32_signed,ghidra-hand
0x0046CC,checkFloatValidity?,ghidra-hand
0x004BBC,setRegister_REG_BIT_VAL,ghidra-hand
0x004C7A,stack_frame_set_sp,ghidra-hand
0x004D2E,setRegisters,ghidra-hand
0x004E0A,noOpFunc,ghidra-hand
0x004E12,noOpFunc2,ghidra-hand
0x005020,noOpFun3,ghidra-hand
0x005024,writeWatchdog_disable?,ghidra-hand
0x005032,writeWatchdog_disable?,ghidra-hand
0x00503A,noOpFunc4,ghidra-hand
0x005056,noOpFunc5,ghidra-hand
0x00505E,noOpFunc6,ghidra-hand
0x0050A6,noOpFunc7,ghidra-hand
0x00527E,callsFlash??,ghidra-hand
0x00528E,intc_clear_flag_trampoline,ghidra-hand
0x005F18,noOp,ghidra-hand
0x0060C8,getSensorStuff??,ghidra-hand
0x0061A8,mainInit??,ghidra-hand
0x0063F0,interruptSetup???,ghidra-hand
0x0065F6,task1?,ghidra-hand
0x00661E,task2?,ghidra-hand
0x006744,getVehicleStatusInputs?,ghidra-hand
0x006884,sensorADCRead,ghidra-hand
0x006CDC,readADCs_coolantTempInHere??,ghidra-hand
0x006FB0,readADCResult,ghidra-hand
0x0070AC,atu_fpu_control_wrapper,ghidra-hand
0x007290,getIATSensorValue,ghidra-hand
0x007298,readIATSensor,ghidra-hand
0x007330,getUNKNOWNSensorValue1,ghidra-hand
0x007338,readECMVoltage??,ghidra-hand
0x007398,getCoolantTempSensorValue,ghidra-hand
0x0073A0,readCoolantTempSensor,ghidra-hand
0x007438,getMAFSensorValue,ghidra-hand
0x0074AC,noOp,ghidra-hand
0x007518,fuelingInit??,ghidra-hand
0x007724,reInitCrankSensor??,ghidra-hand
0x007778,setInterruptTimer,ghidra-hand
0x007C0C,crankSensorInit?,ghidra-hand
0x007C68,geteShaftAngle?,ghidra-hand
0x007F90,engineSpeedInit,ghidra-hand
0x007FCC,getCrankAngle,ghidra-hand
0x00803E,INT_ATU101_IMI10AG,ghidra-hand
0x008340,injectorPulseSet?,ghidra-hand
0x0083CA,injectorRelatedFunc,ghidra-hand
0x0085E4,putFuelingStuffInArray?,ghidra-hand
0x0086AC,fuelinjectorSet0??,ghidra-hand
0x0086F8,setFuelInjectorLatency,ghidra-hand
0x008A68,injectorPulseSet?,ghidra-hand
0x008D86,initSparkOutput,ghidra-hand
0x008DAE,outputSpark1,ghidra-hand
0x008DE8,outputSpark2,ghidra-hand
0x008E28,ignitionTimingHardwareTimerSomething,ghidra-hand
0x008F2A,ignitionDwellOutputInit,ghidra-hand
0x009110,getIgnitionDwellTime,ghidra-hand
0x0091C6,ignitonSomethingCalc,ghidra-hand
0x009490,getIgnitionDwellTime,ghidra-hand
0x009630,osTaskScheduler,ghidra-hand
0x009744,CANControllerSetup,ghidra-hand
0x009890,placeCANRX,ghidra-hand
0x0099B0,txCAN_EventBased,ghidra-hand
0x009B08,getHCANSomething,ghidra-hand
0x009B92,doSomethingIfByteIs1InCANSetup,ghidra-hand
0x009D24,initializeCANRegisters,ghidra-hand
0x009EFE,whileLoop,ghidra-hand
0x009F0C,setMainInitDoneBool??,ghidra-hand
0x009F48,noOp,ghidra-hand
0x00A10E,putTaskInSchedule_FuelArrayStuff,ghidra-hand
0x00A13E,noOp_taskCall,ghidra-hand
0x00A230,setupStructRotorNumber?,ghidra-hand
0x00A266,getRotorNumberForControl?,ghidra-hand
0x00A2B6,calledLots,ghidra-hand
0x00A936,apvHardwareOutputRelated?,ghidra-hand
0x00AA90,setAPVDC?,ghidra-hand
0x00AB8A,misfireDetectInit?,ghidra-hand
0x00AD2A,throttlePedalADCRead?,ghidra-hand
0x00AEE8,throttlePedalADCRead?,ghidra-hand
0x00B99C,updateIO_MAYBE,ghidra-hand
0x00C0F0,store_knock_learn_buffer,ghidra-hand
0x00C116,enableDisableCruiseControl??,ghidra-hand
0x00C14C,knockFunctionInit,ghidra-hand
0x00C1F8,knockRelatedInit,ghidra-hand
0x00C290,knockSensorADCFault,ghidra-hand
0x00C338,functionDrivingTiming,ghidra-hand
0x00C3CE,getKnockSensorADC,ghidra-hand
0x00C486,knockRelatedFunction2,ghidra-hand
0x00C7BA,setupCoilOutputs,ghidra-hand
0x00C8DC,detectKnockOverTime,ghidra-hand
0x00CA7E,ignitionCoilPulse?,ghidra-hand
0x00CA9C,canControllerInitSomething??,ghidra-hand
0x00CAB4,checkHCANRegisterStuff,ghidra-hand
0x00CACC,setCANRegisters,ghidra-hand
0x00CB42,HCANRegisterInit??,ghidra-hand
0x00CB9C,set_MCR_bits2_3,ghidra-hand
0x00CBF8,set_MCR_bits5_7,ghidra-hand
0x00CC1E,set_MCR_bit7,ghidra-hand
0x00CEFE,getHCANRegisterAddress,ghidra-hand
0x00D13C,getBaroSensorValue,ghidra-hand
0x00D144,baro_sensor_value,ghidra-hand
0x00D1E0,getRearO2Voltage,ghidra-hand
0x00D20C,handleManualReset?,ghidra-hand
0x00D21E,main??,ghidra-hand
0x00D262,interestingCANSomething,ghidra-hand
0x00D72C,noOpFunction,ghidra-hand
0x00D9F4,canSetup,ghidra-hand
0x00DA94,resetCANTimers,ghidra-hand
0x00DAE8,canTimerInit??,ghidra-hand
0x00DAF0,handleCANReset,ghidra-hand
0x00DB58,CANTX_Main,ghidra-hand
0x00DBF6,CANRX_Main,ghidra-hand
0x00DCC0,checkCANsomethingKeyOnBased,ghidra-hand
0x00DDDC,CANSetupSomethingDifferentBasedOnBit,ghidra-hand
0x00DE72,EBCMCommEval,ghidra-hand
0x00DF08,can216RXFaultEval,ghidra-hand
0x00DFB4,getCAN47RXStatus,ghidra-hand
0x00E03C,setMessageRXBool,ghidra-hand
0x00E044,setCANRXBool,ghidra-hand
0x00E054,setMsgRXFlag_??,ghidra-hand
0x00E1B4,injectorsOffFlagInit,ghidra-hand
0x00E1DC,calculateEngineRunningTimer2,ghidra-hand
0x00E1FE,getEngineOnTimeForOilMetering,ghidra-hand
0x00E220,calculateEngineRunningTimer,ghidra-hand
0x00E244,calculateEngineOnTime??,ghidra-hand
0x00E278,calculateEngineRunning,ghidra-hand
0x00E2AC,setEngineRunningInjectorsOffFlag,ghidra-hand
0x00E2D8,arbitrateFuelCut,ghidra-hand
0x00E444,UnknownFueling1,ghidra-hand
0x00E458,UnknownFueling1,ghidra-hand
0x00E492,intake_temp_increase_step,ghidra-hand
0x00E564,speedBasedFuelCutSomething??,ghidra-hand
0x00E914,throttlePlateSomethingFuelCut,ghidra-hand
0x00EDC8,fuelCutArbitration_weirdBlock,ghidra-hand
0x00EE68,revLimitFuelCutInit,ghidra-hand
0x00EE86,getConditionalsForRevLimit??,ghidra-hand
0x00EEFE,calculateRevLimiterFuelCut,ghidra-hand
0x00F380,fuelingArrayInit?,ghidra-hand
0x00F964,somethingFuelCutRelated,ghidra-hand
0x00FB90,setFuelCutDriver?,ghidra-hand
0x00FEFF,INT_ATU101_CMI10A,ghidra-hand
0x00FF08,getFuelCutRequestStatus,ghidra-hand
0x00FF36,fuelInjectionRelated,ghidra-hand
0x00FFDA,fuelInjectionTiming?,ghidra-hand
0x01020C,setAllInjectorto0?,ghidra-hand
0x010386,calculatePerRotorIgnitionDwell,ghidra-hand
0x010D5C,fucPointerCAll,ghidra-hand
0x010D82,setEngineCycle?,ghidra-hand
0x010E14,coilOutputSomething?,ghidra-hand
0x010ED2,getEngineCrankingStatusEnum??,ghidra-hand
0x010EE6,getEngineCrankingStatus?,ghidra-hand
0x010F04,setTimingArrayValuesForOutput?,ghidra-hand
0x010F72,returnOne,ghidra-hand
0x010F76,returnDwellTime_fp,ghidra-hand
0x010F84,outputPerRotorIgnitionDwell,ghidra-hand
0x010FEA,calculatePerRotorIgnitionDwell,ghidra-hand
0x01107A,resetFunc?,ghidra-hand
0x011286,setEngineStatusRotor,ghidra-hand
0x011540,someMainFunction,ghidra-hand
0x011584,throttleTask,ghidra-hand
0x0117C8,engineControlTASK2,ghidra-hand
0x01182A,task3,ghidra-hand
0x0118FE,cruiseControl?,ghidra-hand
0x01194E,bunchOFuncs,ghidra-hand
0x011C1C,engineControlTASK,ghidra-hand
0x011C72,bulkInits??,ghidra-hand
0x011F54,getKnownBooleanValue??,ghidra-hand
0x011F78,calculateLeadingTimingBase,ghidra-hand
0x01202A,calculateTrailingTimingBase,ghidra-hand
0x012180,getIgnitionTimingInit,ghidra-hand
0x012192,getInitalLeadingTrailingAdvance?,ghidra-hand
0x0121A4,calculateDSCLeadingTimingDerate?,ghidra-hand
0x012236,modifyTiming,ghidra-hand
0x012294,calculateDSCTrailingTimingDerate?,ghidra-hand
0x012326,modifyTrailingTiming,ghidra-hand
0x012342,calculateLeadingTimingDerateCompensated,ghidra-hand
0x012352,calculateTrailingTimingDerateCompensated,ghidra-hand
