addr,end,name,source,flag
0x000040,0x00004C,FUN_00000040,ghidra-auto,
0x00004C,0x000064,FUN_0000004c,ghidra-auto,
0x000064,0x00007C,FUN_00000064,ghidra-auto,
0x00007C,0x00031C,FUN_0000007c,ghidra-auto,
0x00031C,0x0003B0,watchdogTimerRead,ghidra-hand,
0x0003B0,0x0003D4,task_queue_get_next,ida-ai-xmap,DUBIOUS
0x0003D4,0x0003E0,hw_init_3,ida-ai-xmap,DUBIOUS
0x0003E0,0x00041C,task_queue_pending_count,ida-ai-xmap,DUBIOUS
0x00041C,0x000450,hw_init_2,ida-ai-xmap,DUBIOUS
0x000450,0x0004E0,eeprom_read_validate,ida-ai-xmap,DUBIOUS
0x0004E0,0x000572,main_init,ghidra-hand,
0x000572,0x0005B0,wdt_init,ghidra-hand,
0x0005B0,0x000624,checkWatchdogTimer_OVRCOUNT,ghidra-hand,
0x000624,0x000636,is_eeprom_valid,ida-ai-xmap,DUBIOUS
0x000636,0x0006C8,validate_data_block_header,ida-ai-xmap,DUBIOUS
0x0006C8,0x0007C0,FUN_000006c8,ghidra-auto,
0x0007C0,0x000806,serial_data_write_handler,ida-ai-xmap,DUBIOUS
0x000806,0x00087C,data_transfer_setup,ida-ai-xmap,DUBIOUS
0x00087C,0x0008B4,memset_ram_bounded,ida-ai-xmap,DUBIOUS
0x0008B4,0x0008B8,Illegal_instr,ghidra-hand,
0x0008B8,0x0008CC,Manual_Reset,ghidra-hand,
0x0008CC,0x0008F6,bsc_init,ida-ai-xmap,DUBIOUS
0x0008F6,0x0009FC,FUN_000008f6,ghidra-auto,
0x0009FC,0x000ACE,INT_ATU102_IMI10AG,ghidra-hand,
0x000ACE,0x001008,FUN_00000ace,ghidra-auto,
0x001008,0x001038,validate_rom_calibration_id,ida-ai-xmap,DUBIOUS
0x001038,0x001090,reset_ZERO,ghidra-hand,
0x001090,0x00109C,FUN_00001090,ghidra-auto,
0x00109C,0x0010FE,resetOBDCAN?,ghidra-hand,
0x0010FE,0x001150,FUN_000010fe,ghidra-auto,
0x001150,0x001182,atu_wait_and_transfer,ida-ai-xmap,DUBIOUS
0x001182,0x0011C4,atu_clear_status_flags,ida-ai-xmap,DUBIOUS
0x0011C4,0x0011CC,writeImmoBitZero?,ghidra-hand,
0x0011CC,0x0011FA,checkWatchdogForOverflowandReset,ghidra-hand,
0x0011FA,0x00125C,serial_build_and_send_frame,ida-ai-xmap,DUBIOUS
0x00125C,0x001272,serial_try_receive,ida-ai-xmap,DUBIOUS
0x001272,0x001298,FUN_00001272,ghidra-auto,
0x001298,0x0012A2,callManualReset?,ghidra-hand,
0x0012A2,0x001364,FUN_000012a2,ghidra-auto,
0x001364,0x001378,resetWatchdog?,ghidra-hand,
0x001378,0x001414,FUN_00001378,ghidra-auto,
