addr,end,name,source,flag
0x000170,0x000210,can_init,connor-xmap,CONNOR-XMAP
0x000210,0x000256,can_rx_frame,connor-xmap,CONNOR-XMAP
0x00031C,0x000338,timer_reset,connor-xmap,CONNOR-XMAP
0x0004E0,0x000572,main_init,connor-xmap,CONNOR-XMAP
0x000572,0x000586,timer_init,connor-xmap,CONNOR-XMAP
0x0008B8,0x0008CC,Manual_Reset,connor-xmap,CONNOR-XMAP
0x0008CC,0x0008F6,bus_control_init,connor-xmap,CONNOR-XMAP
0x0008F6,0x00099C,gpio_init,connor-xmap,CONNOR-XMAP
0x000ACE,0x000AE8,can_copy_frame,connor-xmap,CONNOR-XMAP
0x001216,0x001278,uds_reply,connor-xmap,CONNOR-XMAP
0x001572,0x0015CC,uds_decode_frame_sf,connor-xmap,CONNOR-XMAP
0x0015CC,0x00162E,uds_decode_frame_ff,connor-xmap,CONNOR-XMAP
0x001648,0x001678,uds_send_fc,connor-xmap,CONNOR-XMAP
0x001678,0x0016EE,uds_decode_frame_cf,connor-xmap,CONNOR-XMAP
0x00174E,0x00175C,uds_handle_communication_control,connor-xmap,CONNOR-XMAP
0x00175C,0x001770,uds_handle_dtc_control,connor-xmap,CONNOR-XMAP
0x001770,0x0017D8,uds_handle_diagnostic_session_control,connor-xmap,CONNOR-XMAP
0x0017D8,0x001908,uds_handle_security_access_control,connor-xmap,CONNOR-XMAP
0x001908,0x001970,uds_handle_tester_present,connor-xmap,CONNOR-XMAP
0x001970,0x0019DA,uds_handle_ecu_reset,connor-xmap,CONNOR-XMAP
0x001A70,0x001B56,uds_handle_request_download,connor-xmap,CONNOR-XMAP
0x001B8C,0x001C8C,uds_handle_transfer_data,connor-xmap,CONNOR-XMAP
0x004CF8,0x004D2C,interrupt_priority_reset,connor-xmap,CONNOR-XMAP
0x00D58E,0x00D630,checksum_calculate,connor-xmap,CONNOR-XMAP
