addr,end,name,source,flag
0x000040,0x000046,vector_trampoline_set_sp,ida-ai,
0x00004C,0x000064,serial_rx_handler_ch0,ida-ai,
0x000064,0x00007C,serial_rx_handler_ch1,ida-ai,
0x00007C,0x00008A,exception_context_restore,ida-ai,
0x00008A,0x0000C0,serial_data_read_handler,ida-ai,
0x0000C0,0x0000D8,serial_rx_handler_ch2,ida-ai,
0x0000D8,0x0000F4,fatal_error_infinite_loop,ida-ai,
0x0000F4,0x00011A,build_be32_from_bytes,ida-ai,
0x00011A,0x000152,calculate_checksum,ida-ai,
0x000170,0x000210,hw_init_1,ida-ai,
0x000210,0x000256,diag_transfer_210,ida-ai,
0x00031C,0x000338,hw_status_flag_handler,ida-ai,
0x000338,0x000364,serial_dispatch,ida-ai,
0x000364,0x0003B0,task_scheduler_dispatch,ida-ai,
0x0003B0,0x0003D4,task_queue_get_next,ida-ai,
0x0003D4,0x0003E0,hw_init_3,ida-ai,
0x0003E0,0x0003F8,task_queue_pending_count,ida-ai,
0x00041C,0x000450,hw_init_2,ida-ai,
0x000450,0x00047C,eeprom_read_validate,ida-ai,
0x0004E0,0x000572,main_init,ida-ai,
0x000572,0x000586,wdt_init,ida-ai,
0x0005B0,0x000624,cold_start_ram_init,ida-ai,
0x000624,0x000636,is_eeprom_valid,ida-ai,
0x000636,0x0006B6,validate_data_block_header,ida-ai,
0x0007C0,0x000806,serial_data_write_handler,ida-ai,
0x000806,0x000864,diag_transfer_806,ida-ai,
0x00087C,0x0008AC,memset_ram_bounded,ida-ai,
0x0008B8,0x0008CC,reset_handler,ida-ai,
0x0008CC,0x0008F6,bsc_init,ida-ai,
0x0008F6,0x00099C,gpio_init,ida-ai,
0x0009C0,0x0009DE,spi_set_clk_high_wait,ida-ai,
0x0009DE,0x0009FC,spi_set_clk_low_wait,ida-ai,
0x0009FC,0x000ACE,atu_configure_io_channel,ida-ai,
0x000ACE,0x000AE8,sensor_sequential_ace,ida-ai,
0x000AE8,0x000B0E,write_verify_bytes,ida-ai,
0x001008,0x00102C,validate_rom_calibration_id,ida-ai,
0x001038,0x00107C,secondary_boot_init,ida-ai,
0x001094,0x00109A,can_jump_1094,ida-ai,
0x0010A0,0x0010A6,reset_stack_pointer,ida-ai,
0x0010AC,0x001116,atu_timer_init,ida-ai,
0x001116,0x001168,atu_channel_transfer,ida-ai,
0x001168,0x00119A,atu_wait_and_transfer,ida-ai,
0x00119A,0x0011A6,atu_clear_status_flags,ida-ai,
0x0011E0,0x0011E8,clear_comm_counter,ida-ai,
0x0011E8,0x001216,watchdog_service,ida-ai,
0x001216,0x001278,serial_build_and_send_frame,ida-ai,
0x001278,0x00128E,serial_try_receive,ida-ai,
0x00128E,0x001294,get_rx_buffer_ptr,ida-ai,
0x0012BE,0x001364,atu_configure_all_channels,ida-ai,
0x001380,0x001394,wdt_disable,ida-ai,
0x001572,0x0015CC,diag_start_session_handler,ida-ai,
0x0015CC,0x00162E,diag_read_memory_by_addr,ida-ai,
0x001648,0x001678,diag_send_status_frame,ida-ai,
0x001678,0x0016EE,diag_transfer_data_handler,ida-ai,
0x0016EE,0x001704,atu_reset_transfer_timers,ida-ai,
0x001720,0x00174E,diag_reset_session_state,ida-ai,
0x00174E,0x00175C,diag_send_negative_response,ida-ai,
0x00175C,0x001770,diag_send_security_key_resp,ida-ai,
0x001770,0x0017D8,diag_request_download_sid10,ida-ai,
0x0017D8,0x001908,diag_security_access_sid27,ida-ai,
0x001908,0x001970,diag_tester_present_sid3E,ida-ai,
