table_id,baseline_addr,addr_D400,addr_E500,addr_C500,addr_FB00,addr_FC00,addr_B900,addr_E700,addr_15120,addr_32000,method,confidence
Barometric Pressure Sensor Max ADC Count,0x6cf6c,0x6cf6c,0x6c76c,0x6c76c,0x6d46c,0x6d46c,0x6d46c,0x6c76c,0x6c16c,0x7166c,content_match:8|same_addr:1,high:9
Barometric Pressure Sensor Min ADC Count,0x6cf6e,0x6cf6e,0x6c76e,0x6c76e,0x6d46e,0x6d46e,0x6d46e,0x6c76e,0x6c16e,0x7166e,content_match:8|same_addr:1,high:9
Y,0x6cfa4,0x6cfa4,0x6c7a4,0x6c7a4,0x6d4a4,0x6d4a4,0x6d4a4,0x6c7a4,0x6c1a4,0x716a4,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Table 2D - 0_,0x6cfe4,0x6cfe4,0x6c7e4,0x6c7e4,0x6d4e4,0x6d4e4,0x6d4e4,0x6c7e4,0x6c1e4,0x716e4,content_match:6|family_shift:2|same_addr:1,high:7|medium:1|low:1
Y,0x6cff4,0x6cff4,0x6c7f4,0x6c7f4,0x6d4f4,0x6d4f4,0x6d4f4,0x6c7f4,0x6c1f4,0x716f4,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Table 2D - 1_,0x6d034,0x6d034,0x6c834,0x6c834,0x6d534,0x6d534,0x6d534,0x6c834,0x6c234,0x71734,content_match:6|family_shift:2|same_addr:1,high:7|medium:1|low:1
Y,0x6d044,0x6d044,0x6c844,0x6c844,0x6d544,0x6d544,0x6d544,0x6c844,0x6c244,0x71744,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Table 2D - 2_,0x6d084,0x6d084,0x6c884,0x6c884,0x6d584,0x6d584,0x6d584,0x6c884,0x6c284,0x71784,content_match:6|family_shift:2|same_addr:1,high:7|medium:1|low:1
Y,0x6d0ec,0x6d0ec,0x6c8ec,0x6c8ec,0x6d5ec,0x6d5ec,0x6d5ec,0x6c8ec,0x6c2ec,0x717ec,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Table 2D - 3_,0x6d114,0x6d114,0x6c914,0x6c914,0x6d614,0x6d614,0x6d614,0x6c914,0x6c314,0x71814,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Y,0x6d120,0x6d120,0x6c920,0x6c920,0x6d620,0x6d620,0x6d620,0x6c920,0x6c320,0x71820,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Table 2D - 4_,0x6d138,0x6d138,0x6c938,0x6c938,0x6d638,0x6d638,0x6d638,0x6c938,0x6c338,0x71838,content_match:6|family_shift:2|same_addr:1,high:7|medium:1|low:1
Y,0x6d140,0x6d140,0x6c940,0x6c940,0x6d640,0x6d640,0x6d640,0x6c940,0x6c340,0x71840,family_shift:4|content_match:4|same_addr:1,high:5|medium:3|low:1
Table 2D - 288 Check DataType,0x6d158,0x6d158,0x6c958,0x6c958,0x6d658,0x6d658,0x6d658,0x6c958,0x6c358,0x71858,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Y,0x6d160,0x6d160,0x6c960,0x6c960,0x6d660,0x6d660,0x6d660,0x6c960,0x6c360,0x71860,family_shift:4|content_match:4|same_addr:1,high:5|medium:3|low:1
Table 2D - 289 Check DataType,0x6d178,0x6d178,0x6c978,0x6c978,0x6d678,0x6d678,0x6d678,0x6c978,0x6c378,0x71878,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Y,0x6d180,0x6d180,0x6c980,0x6c980,0x6d680,0x6d680,0x6d680,0x6c980,0x6c380,0x71880,family_shift:4|content_match:4|same_addr:1,high:5|medium:3|low:1
Table 2D - 290 Check DataType,0x6d198,0x6d198,0x6c998,0x6c998,0x6d698,0x6d698,0x6d698,0x6c998,0x6c398,0x71898,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Y,0x6d1a0,0x6d1a0,0x6c9a0,0x6c9a0,0x6d6a0,0x6d6a0,0x6d6a0,0x6c9a0,0x6c3a0,0x718a0,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Idle Related,0x6d1e0,0x6d1e0,0x6c9e0,0x6c9e0,0x6d6e0,0x6d6e0,0x6d6e0,0x6c9e0,0x6c3e0,0x718e0,content_match:6|family_shift:2|same_addr:1,high:7|low:2
X,0x6d200,0x6d200,0x6ca00,0x6ca00,0x6d700,0x6d700,0x6d700,0x6ca00,0x6c400,0x71808,content_match:8|same_addr:1,high:9
Y,0x6d218,0x6d218,0x6ca18,0x6ca18,0x6d718,0x6d718,0x6d718,0x6ca18,0x6c418,0x718fc,content_match:8|same_addr:1,high:9
Table 3D - 103_,0x6d230,0x6d230,0x6ca30,0x6ca30,0x6d730,0x6d730,0x6d730,0x6ca30,0x6c430,0x71830,content_match:7|same_addr:1|family_shift:1,high:8|medium:1
X,0x6d254,0x6d254,0x6ca54,0x6ca54,0x6d754,0x6d754,0x6d754,0x6ca54,0x6c454,0x71954,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Y,0x6d294,0x6d294,0x6ca94,0x6ca94,0x6d794,0x6d794,0x6d794,0x6ca94,0x6c494,0x71994,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Table 3D - 0_,0x6d2ac,0x6d2ac,0x6caac,0x6caac,0x6d7ac,0x6d7ac,0x6d7ac,0x6caac,0x6c4ac,0x7189c,content_match:7|same_addr:1|family_shift:1,high:8|low:1
X,0x6d30c,0x6d30c,0x6cb0c,0x6cb0c,0x6d80c,0x6d80c,0x6d80c,0x6cb0c,0x6c50c,0x71a0c,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Y,0x6d34c,0x6d34c,0x6cb4c,0x6cb4c,0x6d84c,0x6d84c,0x6d84c,0x6cb4c,0x6c54c,0x71a4c,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Table 3D - 1_,0x6d364,0x6d364,0x6cb64,0x6cb64,0x6d864,0x6d864,0x6d864,0x6cb64,0x6c564,0x71a64,family_shift:8|same_addr:1,medium:7|high:1|low:1
X,0x6d3c4,0x6d3c4,0x6cbc4,0x6cbc4,0x6d8c4,0x6d8c4,0x6d8c4,0x6cbc4,0x6c5c4,0x71ac4,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Y,0x6d404,0x6d404,0x6cc04,0x6cc04,0x6d904,0x6d904,0x6d904,0x6cc04,0x6c604,0x71b04,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Table 3D - 2_,0x6d41c,0x6d41c,0x6cc1c,0x6cc1c,0x6d91c,0x6d91c,0x6d91c,0x6cc1c,0x6c61c,0x71b1c,content_match:6|family_shift:2|same_addr:1,high:7|low:2
X,0x6d47c,0x6d47c,0x6cc7c,0x6cc7c,0x6d97c,0x6d97c,0x6d97c,0x6cc7c,0x6c67c,0x71b7c,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Y,0x6d4bc,0x6d4bc,0x6ccbc,0x6ccbc,0x6d9bc,0x6d9bc,0x6d9bc,0x6ccbc,0x6c6bc,0x71bbc,content_match:7|same_addr:1|family_shift:1,high:8|low:1
Table 3D - 3_,0x6d4d4,0x6d4d4,0x6ccd4,0x6ccd4,0x6d9d4,0x6d9d4,0x6d9d4,0x6ccd4,0x6c6d4,0x71bd4,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Cold Rev Limit Threshold,0x6d53c,0x6d53c,0x6cd3c,0x6cd3c,0x6da3c,0x6da3c,0x6da3c,0x6cd3c,0x6c73c,0x71c3c,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Cold Rev Limit,0x6d544,0x6d544,0x6cd44,0x6cd44,0x6da44,0x6da44,0x6da44,0x6cd44,0x6c744,0x71c44,content_match:6|family_shift:2|same_addr:1,high:7|medium:1|low:1
Rev Limit,0x6d54c,0x6d54c,0x6cd4c,0x6cd4c,0x6da4c,0x6da4c,0x6da4c,0x6cd4c,0x6c74c,0x71c4c,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Y,0x6d584,0x6d584,0x6cd74,0x6cd74,0x6da74,0x6da74,0x6da74,0x6cd74,0x6c784,0x71c84,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Ignition Maybe Idle Base,0x6d59c,0x6d59c,0x6cd9c,0x6cd8c,0x6da9c,0x6da9c,0x6da9c,0x6cd9c,0x6c79c,0x71c9c,family_shift:7|same_addr:1|content_match:1,low:7|high:2
Y,0x6d5a4,0x6d5a4,0x6cda4,0x6cda4,0x6daa4,0x6daa4,0x6daa4,0x6cda4,0x6c7a4,0x71ca4,family_shift:8|same_addr:1,low:8|high:1
Ignition Temp Correction?,0x6d5c8,0x6d5c8,0x6cdb8,0x6cdb8,0x6dab8,0x6dab8,0x6dab8,0x6cdb8,0x6c7c8,0x71cc8,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Y,0x6d5d4,0x6d5d4,0x6cdc4,0x6cdc4,0x6dac4,0x6dac4,0x6dac4,0x6cdc4,0x6c7d4,0x71cd4,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Ignition 2,0x6d5ec,0x6d5ec,0x6cdec,0x6cddc,0x6daec,0x6daec,0x6daec,0x6cdec,0x6c7ec,0x71cec,family_shift:7|same_addr:1|content_match:1,low:7|high:2
Y,0x6d5f4,0x6d5f4,0x6cdf4,0x6cdf4,0x6daf4,0x6daf4,0x6daf4,0x6cdf4,0x6c7f4,0x71cf4,family_shift:8|same_addr:1,low:8|high:1
Ignition Leading 0,0x6d618,0x6d618,0x6ce08,0x6ce08,0x6db08,0x6db08,0x6db08,0x6ce08,0x6c818,0x71d18,content_match:6|family_shift:2|same_addr:1,high:7|low:2
X,0x6d624,0x6d624,0x6ce14,0x6ce14,0x6db14,0x6db14,0x6db14,0x6ce14,0x6c824,0x71d24,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Y,0x6d64c,0x6d64c,0x6ce34,0x6ce34,0x6db34,0x6db34,0x6db34,0x6ce34,0x6c84c,0x71d4c,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Ignition Timing Lead,0x6d668,0x6d668,0x6ce68,0x6ce68,0x6db68,0x6db68,0x6db68,0x6ce68,0x6c868,0x71d68,family_shift:8|same_addr:1,low:8|high:1
X,0x6d6b0,0x6d6b0,0x6ce88,0x6ce88,0x6db88,0x6db88,0x6db88,0x6ce88,0x6c8b0,0x71db0,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Y,0x6d700,0x6d700,0x6ced8,0x6ced8,0x6dbd8,0x6dbd8,0x6dbd8,0x6ced8,0x6c900,0x71e00,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Ignition Leading 1,0x6d748,0x6d748,0x6cf20,0x6cf20,0x6dc20,0x6dc20,0x6dc20,0x6cf48,0x6c948,0x71e48,content_match:5|family_shift:3|same_addr:1,high:6|low:3
X,0x6d8b0,0x6d8b0,0x6d088,0x6d088,0x6dd88,0x6dd88,0x6dd88,0x6d088,0x6cab0,0x71eb8,content_match:6|family_shift:2|same_addr:1,high:7|low:2
Y,0x6d900,0x6d900,0x6d100,0x6d100,0x6de00,0x6de00,0x6de00,0x6d100,0x6cb00,0x71f08,family_shift:8|same_addr:1,low:8|high:1
Ignition Leading Base - Safe Mode,0x6d948,0x6d948,0x6cf20,0x6cf20,0x6dc20,0x6dc20,0x6dc20,0x6d138,0x6cb48,0x71f50,content_match:5|family_shift:3|same_addr:1,high:6|low:3
X,0x6dab0,0x6dab0,0x6d2b0,0x6d2a0,0x6dfb0,0x6dfb0,0x6dfb0,0x6d2a0,0x6ccb0,0x7153c,family_shift:8|same_addr:1,low:8|high:1
Y,0x6db00,0x6db00,0x6d300,0x6d2f0,0x6e000,0x6e000,0x6e000,0x6d2f0,0x6cd00,0x7158c,family_shift:8|same_addr:1,low:8|high:1
Ignition Leading Base,0x6db48,0x6db48,0x6cf20,0x6cf20,0x6dc20,0x6dc20,0x6dc20,0x6d338,0x6cd48,0x715d4,content_match:5|family_shift:3|same_addr:1,high:6|low:3
X,0x6dcb0,0x6dcb0,0x6cc70,0x6cc70,0x6d970,0x6d970,0x6d970,0x6d4a0,0x6ceb0,0x7173c,family_shift:8|same_addr:1,low:8|high:1
Y,0x6dcd8,0x6dcd8,0x6cc98,0x6cc98,0x6d998,0x6d998,0x6d998,0x6d4c8,0x6ced8,0x71764,family_shift:8|same_addr:1,low:8|high:1
Ignition Leading 4,0x6dcf4,0x6dcf4,0x6ccb4,0x6ccb4,0x6d9b4,0x6d9b4,0x6d9b4,0x6d4e4,0x6cef4,0x71780,family_shift:8|same_addr:1,low:8|high:1
X,0x6dd3c,0x6dd3c,0x6ccfc,0x6ccfc,0x6d9fc,0x6d9fc,0x6d9fc,0x6cdac,0x6cf3c,0x717c8,family_shift:8|same_addr:1,low:8|high:1
Y,0x6dd8c,0x6dd8c,0x6cd4c,0x6cd4c,0x6da4c,0x6da4c,0x6da4c,0x6cdfc,0x6d21c,0x71818,family_shift:8|same_addr:1,low:8|high:1
Ignition,0x6ddd4,0x6ddd4,0x6d194,0x6d194,0x6de94,0x6de94,0x6de94,0x6ce44,0x6d264,0x71860,content_match:5|family_shift:3|same_addr:1,high:6|low:3
X,0x6df3c,0x6df3c,0x6cefc,0x6cefc,0x6dbfc,0x6dbfc,0x6dbfc,0x6cfac,0x6d3cc,0x719c8,family_shift:8|same_addr:1,low:8|high:1
Y,0x6df8c,0x6df8c,0x6cf4c,0x6cf4c,0x6dc4c,0x6dc4c,0x6dc4c,0x6cffc,0x6d41c,0x71a18,family_shift:8|same_addr:1,low:8|high:1
Ignition 0 - Safe Mode,0x6dfd4,0x6dfd4,0x6d194,0x6d194,0x6de94,0x6de94,0x6de94,0x6d044,0x6d464,0x71a60,content_match:5|family_shift:3|same_addr:1,high:6|low:3
X,0x6e13c,0x6e13c,0x6d0fc,0x6d0fc,0x6ddfc,0x6ddfc,0x6ddfc,0x6d1ac,0x6d5cc,0x71bc8,content_match:5|family_shift:3|same_addr:1,high:6|low:3
